step,lr,loss
2176,0.0003,3.744
2304,0.0003,3.7011
2432,0.0003,3.6656
2560,0.0003,3.6296
2688,0.0003,3.6001
2816,0.0003,3.5749
2944,0.0003,3.5497
3072,0.0003,3.5292
3200,0.0003,3.5092
3328,0.0003,3.4908
3456,0.0003,3.4732
3584,0.0003,3.4557
3712,0.0003,3.4441
3840,0.0003,3.4292
3968,0.0003,3.416
4096,0.0003,3.4036
4224,0.0003,3.3917
4352,0.0003,3.3815
4480,0.0003,3.3722
4608,0.0003,3.3637
4736,0.0003,3.3536
4864,0.0003,3.345
4992,0.0003,3.3375
5120,0.0003,3.3292
5248,0.0003,3.3223
5376,0.0003,3.315
5504,0.0003,3.3061
5632,0.0003,3.2989
5760,0.0003,3.2936
5888,0.0003,3.2868
6016,0.0003,3.282
6144,0.0003,3.2757
6272,0.0003,3.2703
6400,0.0003,3.2649
6528,0.0003,3.2614
6656,0.0003,3.2558
6784,0.0003,3.2512
6912,0.0003,3.247
7040,0.0003,3.2427
7168,0.0003,3.2407
7296,0.0003,3.2325
7424,0.0003,3.2288
7552,0.0003,3.2247
7680,0.0003,3.2217
7808,0.0003,3.2177
7936,0.0003,3.215
8064,0.0003,3.2105
8192,0.0003,3.2076
8320,0.0003,3.2041
8448,0.0003,3.2024
8576,0.0003,3.1973
8704,0.0003,3.1942
8832,0.0003,3.1909
8960,0.0003,3.1889
9088,0.0003,3.1845
9216,0.0003,3.1825
9344,0.0003,3.1802
9472,0.0003,3.1771
9600,0.0003,3.1746
9728,0.0003,3.1727
9856,0.0003,3.1692
9984,0.0003,3.1665
10112,0.0003,3.1653
10240,0.0003,3.1624
10368,0.0003,3.1594
10496,0.0003,3.1572
10624,0.0003,3.155
10752,0.0003,3.1525
10880,0.0003,3.1528
11008,0.0003,3.1498
11136,0.0003,3.1473
11264,0.0003,3.1432
11392,0.0003,3.1416
11520,0.0003,3.1415
11648,0.0003,3.1377
11776,0.0003,3.1362
11904,0.0003,3.1342
12032,0.0003,3.1344
12160,0.0003,3.1307
12288,0.0003,3.1284
12416,0.0003,3.1281
12544,0.0003,3.1256
12672,0.0003,3.1254
12800,0.0003,3.1219
12928,0.0003,3.1201
13056,0.0003,3.1183
13184,0.0003,3.1172
13312,0.0003,3.1156
13440,0.0003,3.1131
13568,0.0003,3.1127
13696,0.0003,3.1114
13824,0.0003,3.1097
13952,0.0003,3.108
14080,0.0003,3.1063
14208,0.0003,3.1061
14336,0.0003,3.1052
14464,0.0003,3.1029
14592,0.0003,3.1009
14720,0.0003,3.1019
14848,0.0003,3.0998
14976,0.0003,3.0972
15104,0.0003,3.0963
15232,0.0003,3.0956
15360,0.0003,3.093
15488,0.0003,3.0928
15616,0.0003,3.0909
15744,0.0003,3.09
15872,0.0003,3.0895
16000,0.0003,3.0875
16128,0.0003,3.0864
16256,0.0003,3.0848
16384,0.0003,3.0834
16512,0.0003,3.0825
16640,0.0003,3.0821
16768,0.0003,3.0807
16896,0.0003,3.0814
17024,0.0003,3.0796
17152,0.0003,3.078
17280,0.0003,3.0763
17408,0.0003,3.0753
17536,0.0003,3.0748
17664,0.0003,3.0731
17792,0.0003,3.073
17920,0.0003,3.0715
18048,0.0003,3.0707
18176,0.0003,3.0701
18304,0.0003,3.0689
18432,0.0003,3.0673
18560,0.0003,3.0666
18688,0.0003,3.0659
18816,0.0003,3.0663
18944,0.0003,3.0657
19072,0.0003,3.064
19200,0.0003,3.0631
19328,0.0003,3.0626
19456,0.0003,3.0604
19584,0.0003,3.0601
19712,0.0003,3.0606
19840,0.0003,3.0592
19968,0.0003,3.058
20096,0.0003,3.0568
20224,0.0003,3.056
20352,0.0003,3.0548
20480,0.0003,3.0551
20608,0.0003,3.0535
20736,0.0003,3.0528
20864,0.0003,3.052
20992,0.0003,3.0507
21120,0.0003,3.0502
21248,0.0003,3.0505
21376,0.0003,3.0494
21504,0.0003,3.0482
21632,0.0003,3.0483
21760,0.0003,3.0475
21888,0.0003,3.0462
22016,0.0003,3.0451
22144,0.0003,3.0442
22272,0.0003,3.044
22400,0.0003,3.044
22528,0.0003,3.0431
22656,0.0003,3.0411
22784,0.0003,3.0414
22912,0.0003,3.0415
23040,0.0003,3.0404
23168,0.0003,3.0391
23296,0.0003,3.0383
23424,0.0003,3.0388
23552,0.0003,3.0377
23680,0.0003,3.0369
23808,0.0003,3.0375
23936,0.0003,3.0373
24064,0.0003,3.0356
24192,0.0003,3.0348
24320,0.0003,3.0343
24448,0.0003,3.0341
24576,0.0003,3.0323
24704,0.0003,3.0321
24832,0.0003,3.032
24960,0.0003,3.0309
