step,lr,loss
2176,0.0003,3.5581
2304,0.0003,3.5306
2432,0.0003,3.4758
2560,0.0003,3.4428
2688,0.0003,3.4142
2816,0.0003,3.3857
2944,0.0003,3.3619
3072,0.0003,3.3367
3200,0.0003,3.3178
3328,0.0003,3.2977
3456,0.0003,3.2795
3584,0.0003,3.2629
3712,0.0003,3.2488
3840,0.0003,3.2402
3968,0.0003,3.224
4096,0.0003,3.2116
4224,0.0003,3.1991
4352,0.0003,3.187
4480,0.0003,3.1761
4608,0.0003,3.1663
4736,0.0003,3.1553
4864,0.0003,3.1482
4992,0.0003,3.1371
5120,0.0003,3.1302
5248,0.0003,3.122
5376,0.0003,3.1137
5504,0.0003,3.1058
5632,0.0003,3.099
5760,0.0003,3.0919
5888,0.0003,3.0872
6016,0.0003,3.0879
6144,0.0003,3.0747
6272,0.0003,3.0684
6400,0.0003,3.0622
6528,0.0003,3.0604
6656,0.0003,3.0528
6784,0.0003,3.0478
6912,0.0003,3.0424
7040,0.0003,3.0385
7168,0.0003,3.0336
7296,0.0003,3.0275
7424,0.0003,3.0258
7552,0.0003,3.0216
7680,0.0003,3.0162
7808,0.0003,3.0131
7936,0.0003,3.0084
8000,3.0000000000000004e-05,3.0059
8128,3.0000000000000004e-05,2.9642
8256,3.0000000000000004e-05,2.9429
8384,3.0000000000000004e-05,2.9322
8512,3.0000000000000004e-05,2.9249
8640,3.0000000000000004e-05,2.9192
8768,3.0000000000000004e-05,2.9146
8896,3.0000000000000004e-05,2.9107
9024,3.0000000000000004e-05,2.9072
9152,3.0000000000000004e-05,2.904
9280,3.0000000000000004e-05,2.9013
9408,3.0000000000000004e-05,2.8985
9536,3.0000000000000004e-05,2.8962
9664,3.0000000000000004e-05,2.8938
9792,3.0000000000000004e-05,2.8917
9920,3.0000000000000004e-05,2.8897
10048,3.0000000000000004e-05,2.8878
10176,3.0000000000000004e-05,2.8861
10304,3.0000000000000004e-05,2.8843
10432,3.0000000000000004e-05,2.8827
10560,3.0000000000000004e-05,2.8811
10688,3.0000000000000004e-05,2.8796
10816,3.0000000000000004e-05,2.8783
10944,3.0000000000000004e-05,2.8767
11072,3.0000000000000004e-05,2.8755
11200,3.0000000000000004e-05,2.8741
11328,3.0000000000000004e-05,2.8729
11456,3.0000000000000004e-05,2.8716
11584,3.0000000000000004e-05,2.8703
11712,3.0000000000000004e-05,2.8692
11840,3.0000000000000004e-05,2.8681
11968,3.0000000000000004e-05,2.8668
12096,3.0000000000000004e-05,2.8659
12224,3.0000000000000004e-05,2.8648
12352,3.0000000000000004e-05,2.8637
12480,3.0000000000000004e-05,2.8626
12608,3.0000000000000004e-05,2.8616
12736,3.0000000000000004e-05,2.8607
12864,3.0000000000000004e-05,2.8596
12992,3.0000000000000004e-05,2.8587
13120,3.0000000000000004e-05,2.8577
13248,3.0000000000000004e-05,2.8568
13376,3.0000000000000004e-05,2.8558
13504,3.0000000000000004e-05,2.855
13632,3.0000000000000004e-05,2.8542
13760,3.0000000000000004e-05,2.8534
13888,3.0000000000000004e-05,2.8525
14016,3.0000000000000004e-05,2.8515
14144,3.0000000000000004e-05,2.8509
14272,3.0000000000000004e-05,2.85
14400,3.0000000000000004e-05,2.8493
14528,3.0000000000000004e-05,2.8485
14656,3.0000000000000004e-05,2.8475
14784,3.0000000000000004e-05,2.8468
14912,3.0000000000000004e-05,2.8461
15040,3.0000000000000004e-05,2.8454
15168,3.0000000000000004e-05,2.8447
15296,3.0000000000000004e-05,2.8439
15424,3.0000000000000004e-05,2.843
15552,3.0000000000000004e-05,2.8424
15680,3.0000000000000004e-05,2.8417
15808,3.0000000000000004e-05,2.8409
15936,3.0000000000000004e-05,2.8402
