sample_end,run,full_run_name,eval_scope,n_train_points,n_eval_points,eval_step_start,eval_step_end,L0,A,C,alpha,mae,mse,r2,endpoint_true,endpoint_pred,endpoint_diff,endpoint_abs_diff
2000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,1001,31907,2001,33907,2.988032660282739,0.8709304169480182,1.0,1.2818359306498324,0.19300531255342032,0.046562856066318166,-2.036645416767813,2.6357319355010986,2.1500366522640073,-0.4856952832370913,0.4856952832370913
4000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,3001,29907,4001,33907,2.66435681706069,1.1840084129912418,1.0,0.8309937670222199,0.13466579045070504,0.061180843276379626,-6.2567650983880005,2.6357319355010986,1.885684302101888,-0.7500476333992105,0.7500476333992105
6000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,5001,27907,6001,33907,2.7341461231359903,1.1235234199288358,1.0,0.9239201757219586,0.12289366459629406,0.05470607105730125,-7.580889931932866,2.6357319355010986,1.9337583585416225,-0.7019735769594762,0.7019735769594762
8000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,7001,25907,8001,33907,2.7452315102452998,1.1158120503718527,1.0,0.9438598453910003,0.1287713585405236,0.05730210128537046,-9.617734170883447,2.6357319355010986,1.9413343171376598,-0.6943976183634388,0.6943976183634388
10000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,9001,23907,10001,33907,2.743468015896697,1.1166147046934112,1.0,0.9399475732389608,0.13691441429814447,0.062190116935516335,-11.872347858584872,2.6357319355010986,1.940209840015996,-0.6955220954851027,0.6955220954851027
12000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,11001,21907,12001,33907,2.74084966699204,1.1180232169168525,1.0,0.9344323306660333,0.14686142665037016,0.06812015985592235,-14.080364491752357,2.6357319355010986,1.9385192389612877,-0.6972126965398109,0.6972126965398109
14000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,13001,19907,14001,33907,2.7378164836338224,1.1194103148790964,1.0,0.9276436055550059,0.15873828835227305,0.07528748345163401,-16.50655459467528,2.6357319355010986,1.936638779914212,-0.6990931555868867,0.6990931555868867
16000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,15001,17907,16001,33907,2.7349872091837644,1.1206143865239542,1.0,0.9211381314247703,0.17320530456575256,0.08400618262973106,-19.159016099309717,2.6357319355010986,1.9349351422854733,-0.7007967932156254,0.7007967932156254
18000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,17001,15907,18001,33907,2.730981746769911,1.1220128858900185,1.0,0.9114832471817714,0.19157388453948687,0.09511840945002935,-22.263421492854484,2.6357319355010986,1.9326313149117744,-0.7031006205893242,0.7031006205893242
20000,wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,unseen_after_sample_end,19001,13907,20001,33907,2.728522454643845,1.1228262848443897,1.0,0.905473721756255,0.21490175127384592,0.10908293326080742,-26.178702642642964,2.6357319355010986,1.931258094421928,-0.7044738410791707,0.7044738410791707
