feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,1.0,0.5,1.0,1.25,-0.000877648098248;0.00995317941856;0.017235472976;-0.0159723736266,hybrid_decay_progress_scale1_beta0.5_ridge1_shrink1.25,0.035240810187149016,0.04419078741375037,0.937666888063558,0.0664357891341596,0.03659177664857959,0.04590096048014843,0.9305327025893187,0.053107690127174756
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,1.0,1.25,-0.000792964965722;0.0200210102964;0.00817464667888;-0.0230245478638,hybrid_decay_progress_scale0.5_beta0.5_ridge1_shrink1.25,0.03524638102052715,0.04421534711824555,0.9375975836539838,0.06269271099017137,0.03676307204715634,0.04611453116175575,0.9298847556521889,0.04988114643971775
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,1.0,1.0,1.25,-0.000881313169104;0.00817890134799;0.0210740640544;-0.0164049517442,hybrid_decay_progress_scale0.5_beta1_ridge1_shrink1.25,0.03530560574878493,0.044259558059597706,0.9374727288672846,0.06940630614853882,0.03654170191694609,0.045838164803968434,0.9307226446707582,0.05573140786030972
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,1.0,0.5,1.0,1.0,-0.000877648098248;0.00995317941856;0.017235472976;-0.0159723736266,hybrid_decay_progress_scale1_beta0.5_ridge1_shrink1,0.03532596868849131,0.044307565819285986,0.9373370102861918,0.0648193746430703,0.036796684237279005,0.046154277274433525,0.9297638389126246,0.051621465715204096
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,1.0,1.0,-0.000792964965722;0.0200210102964;0.00817464667888;-0.0230245478638,hybrid_decay_progress_scale0.5_beta0.5_ridge1_shrink1,0.03534200534024323,0.044340900927634284,0.937242684935487,0.06182350526669156,0.03694223517458976,0.0463338894136273,0.929216118769549,0.049039097652217034
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,1.0,1.0,1.0,-0.000881313169104;0.00817890134799;0.0210740640544;-0.0164049517442,hybrid_decay_progress_scale0.5_beta1_ridge1_shrink1,0.035367893265286915,0.04434968535123693,0.9372178166339338,0.067197508513277,0.0367514714935616,0.0460965839515369,0.9299393210191775,0.053721824810098795
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,1.0,0.5,1.0,0.75,-0.000877648098248;0.00995317941856;0.017235472976;-0.0159723736266,hybrid_decay_progress_scale1_beta0.5_ridge1_shrink0.75,0.03542341705941169,0.044438701273555425,0.9369655387441639,0.06320197186094934,0.03701210124668901,0.046418480685050334,0.9289574241327299,0.050134407946714976
sat_s2_drop,sat_s2;sat_drop,1.0,2.0,1.0,1.25,-0.000198994656402;0.00771397809741;-0.00752345679653,sat_s2_drop_scale1_beta2_ridge1_shrink1.25,0.03542657135077697,0.04444038750196222,0.9369607549627873,0.058573389263580466,0.03721267919601334,0.04666520010680847,0.9282002186614412,0.04621739222390264
sat_s2_drop,sat_s2;sat_drop,2.0,0.5,1e-06,1.25,-0.000226356480493;0.0116550409521;-0.0112815918624,sat_s2_drop_scale2_beta0.5_ridge1e-06_shrink1.25,0.03542968990372013,0.04444586329604445,0.9369452190410326,0.05862149702679398,0.037222927254876234,0.0466772557505741,0.928163115878454,0.04631231355569598
sat_s2_drop,sat_s2;sat_drop,2.0,0.5,0.0001,1.25,-0.0002264231001;0.0116509402192;-0.0112774112954,sat_s2_drop_scale2_beta0.5_ridge0.0001_shrink1.25,0.03542970290906463,0.04444588272932565,0.9369451639015228,0.058621587922722984,0.03722293096518909,0.046677259904950044,0.9281631030911797,0.04631227597098864
sat_s2_drop,sat_s2;sat_drop,2.0,0.5,0.01,1.25,-0.000232850454664;0.01125530296;-0.0108740719988,sat_s2_drop_scale2_beta0.5_ridge0.01_shrink1.25,0.03543097269332931,0.04444778809517889,0.9369397575466741,0.05863035768188585,0.037223307495023714,0.04667767781089938,0.9281618167602745,0.046308649976613214
sat_s2_drop,sat_s2;sat_drop,1.0,2.0,0.01,1.25,3.49237784996e-05;0.0151084911828;-0.0151011582391,sat_s2_drop_scale1_beta2_ridge0.01_shrink1.25,0.03543188138061509,0.044445319191061046,0.936946762861222,0.05829587377802259,0.037236621702905474,0.04669809200143283,0.9280989670592893,0.04624510427851547
sat_s2_drop,sat_s2;sat_drop,1.0,2.0,0.0001,1.25,3.9609008043e-05;0.0152565709607;-0.0152529082728,sat_s2_drop_scale1_beta2_ridge0.0001_shrink1.25,0.03543248211251868,0.044446086165302316,0.9369445866758842,0.05829031765195625,0.03723747508179564,0.04669916767881528,0.928095654581097,0.046245660822965995
