method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum_reproduced,none,none,cosine,full,16454,0.032331807768323985,0.04041439212725696,0.011488264576933698,0.9531087258430577
momentum_reproduced,none,none,cosine,steps_20000_30000,5001,0.03201353327002524,0.04000062630998094,0.01181126609614039,0.229181682556433
momentum_reproduced,none,none,wsd,full,16454,0.03721528226531822,0.04667117006834259,0.013197851084129712,0.9281818465404504
momentum_reproduced,none,none,wsd,steps_20000_30000,5001,0.04260689402328606,0.052673555349126835,0.015504320617740971,-0.20951124034777036
momentum_reproduced,smooth_residual,step_spline_s0.5_shrink1,cosine,full,16454,0.012888663305123978,0.015625160453191466,0.004559950877740438,0.9929907927192371
momentum_reproduced,smooth_residual,step_spline_s0.5_shrink1,cosine,steps_20000_30000,5001,0.012596046927942934,0.01518414018411545,0.004646146809148089,0.8889294677335652
momentum_reproduced,smooth_residual,step_spline_s0.5_shrink1,wsd,full,16454,0.02349345568685451,0.028370393999991788,0.008342819650322342,0.9734620365839476
momentum_reproduced,smooth_residual,step_spline_s0.5_shrink1,wsd,steps_20000_30000,5001,0.03545994873659399,0.03873752522307202,0.012824034340649949,0.3458333701380225
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink0.75,cosine,full,16454,0.01050534352636149,0.012812444072826975,0.0037268855494643296,0.9952871469622984
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink0.75,cosine,steps_20000_30000,5001,0.010229219629270812,0.01249883155384717,0.003773595637207446,0.9247412026224415
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink0.75,wsd,full,16454,0.022249587414393153,0.026660805559689197,0.00794022738060817,0.9765640052663858
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink0.75,wsd,steps_20000_30000,5001,0.03504619659620977,0.03717924142806526,0.012698685462260611,0.397404767546532
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink1,cosine,full,16454,0.005485072543616375,0.007000756741541861,0.001938375802106242,0.9985929487820042
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink1,cosine,steps_20000_30000,5001,0.005094335184664221,0.006482380817006192,0.0018794271807544137,0.9797564103527162
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink1,wsd,full,16454,0.02065574125141972,0.024734119918449413,0.007359750359118573,0.9798288907890395
momentum_reproduced,smooth_residual,step_spline_s0.1_shrink1,wsd,steps_20000_30000,5001,0.03546874821563307,0.03629084747168412,0.012798652102646508,0.4258586021684416
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.5,cosine,full,16454,0.017108632197993034,0.021233332073791685,0.006079054404417607,0.9870563656587821
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.5,cosine,steps_20000_30000,5001,0.016745095208575613,0.020774939683453755,0.006177645901300302,0.792079176329927
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.5,wsd,full,16454,0.3990762409524274,0.5583568718205695,0.14477825863664048,-9.279230094467382
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.5,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.75,cosine,full,16454,0.010057072874505064,0.012344097785332263,0.0035721303581233038,0.9956253970785248
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.75,cosine,steps_20000_30000,5001,0.00955702297953768,0.011736188594239512,0.0035259499245173854,0.9336451604496045
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.75,wsd,full,16454,0.400986210005661,0.5585727470379315,0.14543093332934923,-9.287180063780497
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink0.75,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink1,cosine,full,16454,0.004956878853149848,0.006971933482281122,0.0017561880589058428,0.9986045110505166
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink1,cosine,steps_20000_30000,5001,0.004215871181040313,0.006118039338749011,0.001555899733869788,0.9819680383883674
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink1,wsd,full,16454,0.4034410822024892,0.5588776668799353,0.1462680151273508,-9.298414487594938
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.1_shrink1,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.5,cosine,full,16454,0.02004027404330223,0.02447594213905749,0.007116074762251686,0.9828011753932298
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.5,cosine,steps_20000_30000,5001,0.019613839441068436,0.023880477634337,0.007236095672521727,0.7252710276770886
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.5,wsd,full,16454,0.39893376201831243,0.5583393497055692,0.14473052454157884,-9.278584947842374
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.5,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.75,cosine,full,16454,0.015201947994512396,0.018337354721436026,0.0053938784564624255,0.9903463109878363
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.75,cosine,steps_20000_30000,5001,0.014690181932973537,0.01757642115037481,0.00541991296034912,0.8511738167067806
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.75,wsd,full,16454,0.4007005401047001,0.5585336739627687,0.14533532245462555,-9.28574090405283
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink0.75,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink1,cosine,full,16454,0.012227782128034844,0.015575010666769175,0.004332618475042997,0.9930357133654883
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink1,cosine,steps_20000_30000,5001,0.011554348661229247,0.014715764780486302,0.004262629160979885,0.8956760268799279
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink1,wsd,full,16454,0.40293730653603865,0.5588085498217312,0.146099566167199,-9.295867411047073
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_raw_s0.5_shrink1,wsd,steps_20000_30000,5001,0.8312737680691485,0.8322674788145903,0.3000298047541377,-300.96074741795735
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.5,cosine,full,16454,0.017108632197993034,0.021233332073791685,0.006079054404417607,0.9870563656587821
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.5,cosine,steps_20000_30000,5001,0.016745095208575613,0.020774939683453755,0.006177645901300302,0.792079176329927
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.5,wsd,full,16454,0.04484405645477583,0.05558616686079809,0.015959201458561455,0.8981243693507994
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.5,wsd,steps_20000_30000,5001,0.057616796895900414,0.06790332955404947,0.020964964258758868,-1.0100496359530098
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.75,cosine,full,16454,0.010057072874505064,0.012344097785332263,0.0035721303581233038,0.9956253970785248
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.75,cosine,steps_20000_30000,5001,0.00955702297953768,0.011736188594239512,0.0035259499245173854,0.9336451604496045
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.75,wsd,full,16454,0.050608965765214196,0.062005905836597645,0.01801873778954567,0.8732339466409993
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.1_shrink0.75,wsd,steps_20000_30000,5001,0.06665535672822552,0.07654126558605566,0.02423857651002196,-1.5539707550746389
