method,correction,feature_set,schedule,target,window,n,mae,rmse,mape,r2
momentum_reproduced,none,none,cosine,roll5,full,16450,0.014769024194902176,0.01847105028596654,0.005238992379224136,0.9897920125277545
momentum_reproduced,none,none,cosine,roll5,steps_20000_30000,5001,0.014405303911744053,0.017842436229191565,0.005311054445475012,0.5982881151561747
momentum_reproduced,none,none,cosine,raw,full,16450,0.03232776450142869,0.04041084797672895,0.011487944171268805,0.9527915046370236
momentum_reproduced,none,none,cosine,raw,steps_20000_30000,5001,0.03201353327002524,0.04000062630998094,0.01181126609614039,0.229181682556433
momentum_reproduced,none,none,wsd,roll5,full,16450,0.02435986128110719,0.029667784701113815,0.008653560953806028,0.9695669499916856
momentum_reproduced,none,none,wsd,roll5,steps_20000_30000,5001,0.03436749893576502,0.03854384708758269,0.012439019515615317,-0.480140734070738
momentum_reproduced,none,none,wsd,raw,full,16450,0.037211285294070764,0.046666914539759796,0.013197632930952958,0.9276655657613402
momentum_reproduced,none,none,wsd,raw,steps_20000_30000,5001,0.04260689402328606,0.052673555349126835,0.015504320617740971,-0.20951124034777036
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,cosine,roll5,full,16450,0.007572646401306567,0.009472149877309375,0.0026858737783685698,0.9973155577245749
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,cosine,roll5,steps_20000_30000,5001,0.007384814399856114,0.009158017849703963,0.0027226666104182154,0.8941698660931618
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,cosine,raw,full,16450,0.02995921488364556,0.03749129152003426,0.010646224437286923,0.9593664249612895
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,cosine,raw,steps_20000_30000,5001,0.02977282401450865,0.03725318450791538,0.010988068902446463,0.33143251615474867
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,wsd,roll5,full,16450,0.021175650944281657,0.025232370475992874,0.0075499697157270715,0.9779863859775338
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,wsd,roll5,steps_20000_30000,5001,0.034686634310141136,0.036029755831637866,0.01253261165227159,-0.2933483974450073
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,wsd,raw,full,16450,0.03531662264396339,0.044258134018982494,0.01252997780663061,0.9349401417647858
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.5,wsd,raw,steps_20000_30000,5001,0.041527358320379806,0.051089197920092116,0.01510987562820754,-0.1378442290354831
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,cosine,roll5,full,16450,0.004121532951973764,0.005146248436622864,0.0014614518569151553,0.9992076109904384
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,cosine,roll5,steps_20000_30000,5001,0.004014685628701119,0.004977418978537149,0.0014802063291274154,0.9687381429337605
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,cosine,raw,full,16450,0.029419361064501083,0.03680174306219395,0.010453968721012893,0.9608473637925095
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,cosine,raw,steps_20000_30000,5001,0.029278997513298113,0.036603590566941006,0.010807604528460165,0.3545452197435155
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,wsd,roll5,full,16450,0.020161763179947063,0.024080813005791204,0.007199125445164415,0.9799498543008197
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,wsd,roll5,steps_20000_30000,5001,0.03508104801547475,0.03560218308028373,0.012662935823334082,-0.26283366134520736
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,wsd,raw,full,16450,0.034929666880811054,0.043752007793189183,0.012391122200296792,0.9364196537100057
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink0.75,wsd,raw,steps_20000_30000,5001,0.04145998743028814,0.05090209362935475,0.015080749071926481,-0.1295252222096941
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,cosine,roll5,full,16450,0.0018169233979571005,0.002205484516432715,0.0006435034497568019,0.9998544658299854
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,cosine,roll5,steps_20000_30000,5001,0.0017656812012224322,0.0021217285605753394,0.0006511843530322648,0.9943195071279499
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,cosine,raw,full,16450,0.029328033477355898,0.03667093849067043,0.010420452763764097,0.9611251898937831
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,cosine,raw,steps_20000_30000,5001,0.02915741335590366,0.03647832872080867,0.010764370042166642,0.35895530714141366
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,wsd,roll5,full,16450,0.01967305390473242,0.02379846070694844,0.007026306663861693,0.980417281655199
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,wsd,roll5,steps_20000_30000,5001,0.03548287232559791,0.03576345677381284,0.012795931576592296,-0.2743005497943998
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,wsd,raw,full,16450,0.0349297334401028,0.04373741946518167,0.012386538459050045,0.9364620461102153
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.01_shrink1,wsd,raw,steps_20000_30000,5001,0.04169073912961852,0.051128056955754494,0.015157491671456464,-0.1395758023111262
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,cosine,roll5,full,16450,0.008169925283108127,0.01020880254711793,0.0028972802677653974,0.9968817814188109
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,cosine,roll5,steps_20000_30000,5001,0.007944669431053668,0.009874722256413724,0.0029290410636920398,0.8769572149661871
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,cosine,raw,full,16450,0.030540946589863366,0.03822878961753994,0.010852988598224277,0.9577520805064338
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,cosine,raw,steps_20000_30000,5001,0.030358391941739064,0.037987863162609936,0.011204221592984384,0.3048025447554099
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,roll5,full,16450,0.021385284199383868,0.025520834175205835,0.007621706617088144,0.9774801769564063
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,roll5,steps_20000_30000,5001,0.03468602965235055,0.036222364582169465,0.012533622572435569,-0.30721338558167033
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,raw,full,16450,0.03580310722958274,0.04489360951095796,0.01270085830321712,0.9330584193396307
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,raw,steps_20000_30000,5001,0.04191173650971866,0.051644692010571744,0.015249416140391265,-0.16272236390902828
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,roll5,full,16450,0.005378049039473942,0.006680087459017744,0.0019065672834740934,0.9986648771026296
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,roll5,steps_20000_30000,5001,0.005220703273181496,0.006466650855428137,0.0019248801280809167,0.9472326601172641
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,raw,full,16450,0.030258114173920776,0.0378750155558283,0.01075218862151095,0.9585303976401567
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,raw,steps_20000_30000,5001,0.03012082237739953,0.03767391914870305,0.01111833850774527,0.3162457376263448
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,roll5,full,16450,0.02048436721132324,0.02445595507446271,0.007309231795490252,0.9793202874309066
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,roll5,steps_20000_30000,5001,0.03507900449881807,0.035842364314877986,0.012664047616315106,-0.27992991896555375
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,raw,full,16450,0.0356276665550092,0.04467053628255047,0.012636573145565481,0.9337220226660992
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,raw,steps_20000_30000,5001,0.04201365109337229,0.05170022349823419,0.015282064222343605,-0.16522416665526474
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,roll5,full,16450,0.004046303781886996,0.004923719339106072,0.0014340443599650022,0.9992746568301615
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,roll5,steps_20000_30000,5001,0.0039216536561976646,0.004760589484300001,0.001446365279848411,0.9714025150426726
