config,val_full_mae,val_endpoint,test_full_mae,test_endpoint,val_rank,test_rank
spline_s0.01_shrink1_clip0.15,0.0164473637600758,0.0173710212096844,0.0208777617992575,0.0046002787572367,1.0,1.0
spline_s0.01_shrink1_clip0.25,0.0164473637600758,0.0173710212096844,0.0208777617992575,0.0046002787572367,1.0,1.0
spline_s0.05_shrink1_clip0.25,0.0170017313304594,0.0174469707815294,0.0212813374865551,0.0046764046945528,3.0,3.0
spline_s0.05_shrink1_clip0.15,0.0170017313304594,0.0174469707815294,0.0212813374865551,0.0046764046945528,3.0,3.0
spline_s0.1_shrink1_clip0.15,0.0176003790429391,0.0175141251022781,0.0217411727825495,0.0047437149569762,5.0,5.0
spline_s0.1_shrink1_clip0.25,0.0176003790429391,0.0175141251022781,0.0217411727825495,0.0047437149569762,5.0,5.0
spline_s0.01_shrink0.75_clip0.15,0.0184260980594679,0.0276731932435221,0.0224828458562567,0.0149263738676661,7.0,7.0
spline_s0.01_shrink0.75_clip0.25,0.0184260980594679,0.0276731932435221,0.0224828458562567,0.0149263738676661,7.0,7.0
spline_s0.01_shrink1.25_clip0.25,0.0188596033983448,0.0070292837724688,0.0225461827421677,0.0057654736329406,9.0,9.0
spline_s0.01_shrink1.25_clip0.15,0.0188596033983448,0.0070292837724688,0.0225461827421677,0.0057654736329406,9.0,9.0
spline_s0.05_shrink0.75_clip0.25,0.0189179716247995,0.027729937696646,0.0228412449717451,0.0149832500893034,11.0,15.0
spline_s0.05_shrink0.75_clip0.15,0.0189179716247995,0.027729937696646,0.0228412449717451,0.0149832500893034,11.0,15.0
spline_s0.05_shrink1.25_clip0.15,0.0190113610053935,0.0071245850058803,0.0226760153063699,0.0056699510968076,13.0,11.0
spline_s0.05_shrink1.25_clip0.25,0.0190113610053935,0.0071245850058803,0.0226760153063699,0.0056699510968076,13.0,11.0
spline_s0.25_shrink1_clip0.15,0.0190144648951225,0.0176637595175219,0.0228344356450541,0.0048936968441477,15.0,13.0
spline_s0.25_shrink1_clip0.25,0.0190144648951225,0.0176637595175219,0.0228344356450541,0.0048936968441477,15.0,13.0
spline_s0.1_shrink1.25_clip0.15,0.0193246305392181,0.0072088494319499,0.0229323087108899,0.0055854909970189,17.0,17.0
spline_s0.1_shrink1.25_clip0.25,0.0193246305392181,0.0072088494319499,0.0229323087108899,0.0055854909970189,17.0,17.0
spline_s0.1_shrink0.75_clip0.15,0.0194364735710423,0.0277801112582278,0.0232615257151632,0.0150335401608749,19.0,19.0
spline_s0.1_shrink0.75_clip0.25,0.0194364735710423,0.0277801112582278,0.0232615257151632,0.0150335401608749,19.0,19.0
spline_s0.25_shrink1.25_clip0.25,0.0202231711285112,0.0073966069892628,0.0236912586919018,0.0053972974405391,21.0,21.0
spline_s0.25_shrink1.25_clip0.15,0.0202231711285112,0.0073966069892628,0.0236912586919018,0.0053972974405391,21.0,21.0
spline_s0.25_shrink0.75_clip0.15,0.020691750586026,0.0278919099782744,0.0242420205058218,0.0151455984931017,23.0,23.0
spline_s0.25_shrink0.75_clip0.25,0.020691750586026,0.0278919099782744,0.0242420205058218,0.0151455984931017,23.0,23.0
spline_s0.5_shrink1_clip0.15,0.0210761778509908,0.0178062404398451,0.0244953139832419,0.005036508626993,25.0,25.0
spline_s0.5_shrink1_clip0.25,0.0210761778509908,0.0178062404398451,0.0244953139832419,0.005036508626993,25.0,25.0
spline_s0.5_shrink1.25_clip0.15,0.0219816459383414,0.0075753860963621,0.0251335604669595,0.0052181031834832,27.0,27.0
spline_s0.5_shrink1.25_clip0.25,0.0219816459383414,0.0075753860963621,0.0251335604669595,0.0052181031834832,27.0,27.0
spline_s0.5_shrink0.75_clip0.15,0.022490276085357,0.0279983654400357,0.0256942497205355,0.0152523011592546,29.0,29.0
spline_s0.5_shrink0.75_clip0.25,0.022490276085357,0.0279983654400357,0.0256942497205355,0.0152523011592546,29.0,29.0
