residual_target,family,selected_config,target_schedule,window,residual_mae,residual_corr,sign_agreement,step_residual_corr,residual_corr_gap_vs_step
raw,step_abs,interp_log_residual_shrink1_clip0.15,811,full,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.9212859972593567,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811,steps_27126_33906,0.005540167081637837,0.879386487565081,0.8670008846947803,0.879386487565081,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811,last_2048_sampled,0.003590063828403988,0.9851320918229316,0.91357421875,0.9851320918229316,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,wsd,full,0.007374624549604586,0.9364833929086915,0.8098942506381427,0.9364833929086915,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,wsd,steps_27126_33906,0.007905002416347855,0.9133161430797243,0.8018283692126217,0.9133161430797243,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,wsd,last_2048_sampled,0.0034533569538647934,0.9749459045994239,0.90771484375,0.9749459045994239,0.0
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811,full,0.014763334478526582,-0.07964306853681084,0.42694785462501517,0.9212859972593567,-1.0009290657961676
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811,steps_27126_33906,0.015190513652088053,,0.4541433205544087,0.879386487565081,
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811,last_2048_sampled,0.012883793294594468,,0.55078125,0.9851320918229316,
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,wsd,full,0.016011202494891245,-0.12345707110739393,0.3824601920505652,0.9364833929086915,-1.0599404640160854
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,wsd,steps_27126_33906,0.01859469344190816,,0.29283397227956354,0.9133161430797243,
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,wsd,last_2048_sampled,0.015737434578732435,,0.3876953125,0.9749459045994239,
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811,full,0.014763334478526582,-0.07964306853681084,0.42694785462501517,0.9212859972593567,-1.0009290657961676
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811,steps_27126_33906,0.015190513652088053,,0.4541433205544087,0.879386487565081,
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811,last_2048_sampled,0.012883793294594468,,0.55078125,0.9851320918229316,
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,wsd,full,0.016011202494891245,-0.12345707110739393,0.3824601920505652,0.9364833929086915,-1.0599404640160854
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,wsd,steps_27126_33906,0.01859469344190816,,0.29283397227956354,0.9133161430797243,
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,wsd,last_2048_sampled,0.015737434578732435,,0.3876953125,0.9749459045994239,
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811,full,0.013465467383353632,-0.02062934005061468,0.4954418378509785,0.9212859972593567,-0.9419153373099713
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811,steps_27126_33906,0.014108436613523246,-0.027410172490005418,0.4927749926275435,0.879386487565081,-0.9067966600550864
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811,last_2048_sampled,0.013051482583460325,0.028944751180529853,0.50732421875,0.9851320918229316,-0.9561873406424017
