residual_target,family,selected_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff,step_mae,mae_gap_vs_step
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,811,full,0.016293464639183335,0.020884821838048778,0.9860775111539413,0.017332221498786993,0.016293464639183335,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,811,steps_27126_33906,0.015018734804555635,0.021705530808388527,0.7705878081599143,0.017332221498786993,0.015018734804555635,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,811,last_2048_sampled,0.009555855654943358,0.011071491854323354,0.9278110292925127,0.017332221498786993,0.009555855654943358,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,wsd,full,0.02076747763849802,0.025158663160201444,0.9791305031910535,0.0045613889480131675,0.02076747763849802,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,wsd,steps_27126_33906,0.021706695353721762,0.027567352439136102,0.7319117321728161,0.0045613889480131675,0.021706695353721762,0.0
raw,step_abs,interp_log_residual_shrink1_clip0.15,811:full,wsd,last_2048_sampled,0.009309824120109087,0.012272615978553456,0.9141375656916927,0.0045613889480131675,0.009309824120109087,0.0
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,811,full,0.041940007834843904,0.05242669750584831,0.9122675350562286,0.03791669961306443,0.016293464639183335,0.02564654319566057
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,811,steps_27126_33906,0.041016890618323955,0.05193474603333539,-0.3133839257430522,0.03791669961306443,0.015018734804555635,0.02599815581376832
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,811,last_2048_sampled,0.034441310014424034,0.04338023191757348,-0.10826163351474172,0.03791669961306443,0.009555855654943358,0.024885454359480676
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,full,0.04541427064874608,0.05628532576953451,0.895545483109598,0.025193667083966087,0.02076747763849802,0.024646793010248056
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,steps_27126_33906,0.0505965994264045,0.06169700201977689,-0.34281385654859564,0.025193667083966087,0.021706695353721762,0.02888990407268274
raw,s1_raw,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,last_2048_sampled,0.04222829836420819,0.0526045119885641,-0.5775200916488601,0.025193667083966087,0.009309824120109087,0.032918474244099105
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,811,full,0.041940007834843904,0.05242669750584831,0.9122675350562286,0.03791669961306443,0.016293464639183335,0.02564654319566057
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,811,steps_27126_33906,0.041016890618323955,0.05193474603333539,-0.3133839257430522,0.03791669961306443,0.015018734804555635,0.02599815581376832
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,811,last_2048_sampled,0.034441310014424034,0.04338023191757348,-0.10826163351474172,0.03791669961306443,0.009555855654943358,0.024885454359480676
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,full,0.04541427064874608,0.05628532576953451,0.895545483109598,0.025193667083966087,0.02076747763849802,0.024646793010248056
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,steps_27126_33906,0.0505965994264045,0.06169700201977689,-0.34281385654859564,0.025193667083966087,0.021706695353721762,0.02888990407268274
raw,s1_clamp,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,last_2048_sampled,0.04222829836420819,0.0526045119885641,-0.5775200916488601,0.025193667083966087,0.009309824120109087,0.032918474244099105
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,811,full,0.03830448612352926,0.0479809110280897,0.9265160811932364,0.03791669961306443,0.016293464639183335,0.022011021484345927
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,811,steps_27126_33906,0.03799011197590251,0.0477527592993424,-0.11038251729896609,0.03791669961306443,0.015018734804555635,0.022971377171346875
