family,target_schedule,window,n,mae_baseline,mae_corrected,mae_improvement,relative_improvement_pct,rmse_baseline,rmse_corrected,r2_corrected,endpoint_abs_diff,step_mae,step_rmse,mae_gap_vs_step,rmse_gap_vs_step,verdict
s1_clamp,811,full,16454,0.035786677452969595,0.03661838691255314,-0.0008317094595835448,-2.3240756582573696,0.044917079432651615,0.045954782985415304,0.9325911732727882,0.05414377848965923,0.033207063538535815,0.04173325079877043,0.003411323374017325,0.004221532186644873,fails_vs_momentum
s1_ratio,811,full,16454,0.035786677452969595,0.04295554263695613,-0.007168865183986538,-20.032217836952793,0.044917079432651615,0.0748994209305345,0.8209343641665126,0.054143778489648575,0.033207063538535815,0.04173325079877043,0.009748479098420318,0.033166170131764074,fails_vs_momentum
s1_raw,811,full,16454,0.035786677452969595,0.23455319842486033,-0.19876652097189074,-555.4204388856921,0.044917079432651615,0.32082414251481106,-2.2854087798885967,0.37081523573330877,0.033207063538535815,0.04173325079877043,0.20134613488632452,0.2790908917160406,fails_vs_momentum
step_abs,811,full,16454,0.035786677452969595,0.033207063538535815,0.00257961391443378,7.208307945949653,0.044917079432651615,0.04173325079877043,0.9444070449548329,0.03687140497267105,0.033207063538535815,0.04173325079877043,0.0,0.0,step_reference
s1_clamp,811,last_2048_sampled,2048,0.032416249889189584,0.03218131908916501,0.00023493080002457561,0.7247315800799096,0.040386037037046234,0.040169361078329344,0.049726960572715306,0.05414377848965923,0.029797790330936363,0.03736427524781395,0.002383528758228646,0.0028050858305153914,helps_but_weaker_than_step
s1_ratio,811,last_2048_sampled,2048,0.032416249889189584,0.03285982608820434,-0.00044357619901475714,-1.3683760476028546,0.040386037037046234,0.040808408694953606,0.01925098681862647,0.054143778489648575,0.029797790330936363,0.03736427524781395,0.0030620357572679786,0.0034441334471396537,fails_vs_momentum
s1_raw,811,last_2048_sampled,2048,0.032416249889189584,0.4276694140166477,-0.39525316412745815,-1219.3056429370326,0.040386037037046234,0.42959287044690714,-107.6857709098468,0.37081523573330877,0.029797790330936363,0.03736427524781395,0.39787162368571133,0.3922285951990932,fails_vs_momentum
step_abs,811,last_2048_sampled,2048,0.032416249889189584,0.029797790330936363,0.0026184595582532215,8.077614058393737,0.040386037037046234,0.03736427524781395,0.17781095620162168,0.03687140497267105,0.029797790330936363,0.03736427524781395,0.0,0.0,step_reference
s1_clamp,811,steps_10000_20000,5001,0.03551849144556949,0.036138971444044134,-0.0006204799984746434,-1.7469210352739823,0.044601484086257574,0.045387405595704436,-0.0137289503882696,0.003171963747178541,0.03258259973054149,0.04093486290091378,0.0035563717135026415,0.004452542694790659,fails_vs_momentum
s1_ratio,811,steps_10000_20000,5001,0.03551849144556949,0.03546558934533237,5.290210023711772e-05,0.14894241867841668,0.044601484086257574,0.044552619595301,0.023218059283211745,0.010186231168719306,0.03258259973054149,0.04093486290091378,0.0028829896147908804,0.003617756694387221,helps_but_weaker_than_step
