family,target_schedule,window,n,residual_mae,residual_rmse,residual_corr,residual_spearman,sign_agreement,signed_bias,pred_residual_std,true_residual_std,step_residual_mae,step_residual_corr,residual_mae_gap_vs_step,residual_corr_gap_vs_step,verdict
s1_clamp,811,full,16454,0.01288802889152847,0.016260461282462422,-0.03391315616437149,-0.04415512412259258,0.4323568737085207,0.005463247707250403,0.001928542493861734,0.015128034008658621,0.011688533342955106,0.372930501107507,0.001199495548573364,-0.40684365727187843,phase_alignment_failure
s1_ratio,811,full,16454,0.01471958676486637,0.023685621509184948,-0.02329866965894552,-0.04943090063892637,0.48820955390786436,0.0024254205919617706,0.017713881844919562,0.015128034008658621,0.011688533342955106,0.372930501107507,0.0030310534219112634,-0.3962291707664525,phase_alignment_failure
s1_raw,811,full,16454,0.07894473592718183,0.10784917495424272,-0.12291599718663652,-0.10201018116700017,0.4323568737085207,0.07426714177087917,0.07488970133748653,0.015128034008658621,0.011688533342955106,0.372930501107507,0.06725620258422672,-0.4958464982941435,phase_alignment_failure
step_abs,811,full,16454,0.011688533342955106,0.01476680898815108,0.372930501107507,0.35970534189938635,0.6209432356873709,0.004545853832681289,0.006246094574044545,0.015128034008658621,0.011688533342955106,0.372930501107507,0.0,0.0,step_reference
s1_clamp,811,last_2048_sampled,2048,0.012046463383113458,0.015047164072196594,,,0.55078125,0.00010632064865100967,6.505213034913027e-19,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0008886210301670121,,phase_alignment_failure
s1_ratio,811,last_2048_sampled,2048,0.012302299377210807,0.015272157864996427,0.030714082291052325,0.03405018776361651,0.4697265625,-0.002398839908583994,0.001598859106501122,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0011444570242643611,-0.3974706140123034,phase_alignment_failure
s1_raw,811,last_2048_sampled,2048,0.1485237510576538,0.14928399268096762,,,0.55078125,0.1485237510576538,2.7755575615628914e-17,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.13736590870470736,,phase_alignment_failure
step_abs,811,last_2048_sampled,2048,0.011157842352946446,0.013982283106978006,0.4281846963033557,0.4193556675268812,0.62890625,-0.003256906543636158,0.006416565857554096,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0,0.0,step_reference
s1_clamp,811,steps_10000_20000,5001,0.01276307067190504,0.01608185991847527,-0.024872829944932364,-0.021917212477541723,0.46630673865226957,0.006691376024010915,0.0022558526615552906,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0012537205753588437,-0.4343684502191387,phase_alignment_failure
s1_ratio,811,steps_10000_20000,5001,0.012525580265508087,0.015783240590991905,-0.007303114369999468,-0.009153486727684451,0.5288942211557689,0.005972496821637939,0.0024055271537671372,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0010162301689618913,-0.41679873464420586,phase_alignment_failure
s1_raw,811,steps_10000_20000,5001,0.032300449630078665,0.06052244779044207,-0.0746116759025347,-0.04214895144311191,0.46630673865226957,0.026717946567732517,0.0513009783009761,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.02079109953353247,-0.4841072961767411,phase_alignment_failure
step_abs,811,steps_10000_20000,5001,0.011509350096546196,0.0145052633990087,0.4094956202742064,0.39614347710226055,0.6330733853229354,0.0061540366746912585,0.006238242601027189,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0,0.0,step_reference
s1_clamp,811,steps_1000_10000,4501,0.010822616838141013,0.013555226579818053,0.09225339685302418,0.0829294949444902,0.5341035325483225,-7.430305366321323e-05,0.002359909216115631,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.0011443679455670607,-0.3617132025098603,phase_alignment_failure
s1_ratio,811,steps_1000_10000,4501,0.018240412574576582,0.03604180412181384,0.04087746866441196,-0.0044439088736731025,0.4854476782937125,-0.007772581177135264,0.033032738994623265,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.008562163682002629,-0.41308913069847253,phase_alignment_failure
