model,feature_set,config,split,target_schedule,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,mae_baseline,mae_improvement_vs_momentum,relative_mae_improvement_pct,step_reference_mae,mae_gap_vs_step_reference
momentum_baseline,none,none,train,cosine,full,16454,0.03233900437067206,0.040413590175866855,0.011489331289177897,0.9531105867716734,0.00042619333705065453,0.176202208154697,0.0413117703349406,0.03233900437067206,0.0,0.0,,
momentum_baseline,none,none,train,cosine,steps_27126_33906,3391,0.03168541521772093,0.03988345870165528,0.01185965343009869,0.041927055836934124,0.002497226044896207,0.138561078148848,0.0413117703349406,0.03168541521772093,0.0,0.0,,
momentum_baseline,none,none,train,cosine,steps_30000_33906,1954,0.03176104292493659,0.04000505194656985,0.011927394073253505,-0.00739035648681563,0.0045262992432803,0.138561078148848,0.0413117703349406,0.03176104292493659,0.0,0.0,,
momentum_baseline,none,none,train,cosine,last_2048_sampled,2048,0.03166922450913761,0.03992262090627103,0.011891924639509041,-0.006127469350383219,0.004479880716838745,0.138561078148848,0.0413117703349406,0.03166922450913761,0.0,0.0,,
momentum_baseline,none,none,validation,811,full,16454,0.035786677452969595,0.044917079432651615,0.012653357784427404,0.9356011148197827,0.01321151805496938,0.1833267369260998,0.058343827724042896,0.035786677452969595,0.0,0.0,0.0164473637600758,0.019339313692893795
momentum_baseline,none,none,validation,811,steps_27126_33906,3391,0.035358896851653436,0.044598670242173316,0.013173520419694818,0.03145569419894911,0.006407503781451169,0.1633332522191182,0.058343827724042896,0.035358896851653436,0.0,0.0,0.0151542069521842,0.020204689899469237
momentum_baseline,none,none,validation,811,steps_30000_33906,1954,0.03254554010472091,0.040499253337113385,0.012175053230959609,0.025319819029573032,-0.004490103603543735,0.14762860940402645,0.058343827724042896,0.03254554010472091,0.0,0.0,0.0100502184846781,0.02249532162004281
momentum_baseline,none,none,validation,811,last_2048_sampled,2048,0.032416249889189584,0.040386037037046234,0.012123680388688132,0.03944765124845617,-0.004211482873508487,0.14762860940402645,0.058343827724042896,0.032416249889189584,0.0,0.0,0.0097109073051012,0.022705342584088385
momentum_baseline,none,none,test,wsd,full,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,0.03772038950173981,0.0,0.0,0.0208777617992575,0.01684262770248231
momentum_baseline,none,none,test,wsd,steps_27126_33906,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,0.03875375885797014,0.0,0.0,0.021855493084408,0.016898265773562137
