selection_rule,model_class,config,target,ridge_alpha,event_shrink,step_template,feature,coefficient,step_smoothing,step_rolling_window,step_shrink,residual_clip,step_config
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,endpoint_pressure,-0.004061267108864305,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,endpoint_progress,-0.0026322770536706627,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,intercept,-0.00025883150179674435,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,linear_decay_progress,0.0058333375836729165,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,linear_decay_progress_sq,0.002640332248097461,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,remaining_frac,0.0026322770536700933,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,tail_progress_global,0.0003146171277109379,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,tail_progress_global_sq,0.0008503022277402785,,,,,
811_full,event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,log_residual,10.0,0.75,none,tail_saturation,-0.00016285420654861714,,,,,
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,endpoint_pressure,0.0011208086650902776,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,endpoint_progress,-0.002564470458826046,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,intercept,-6.470787544919301e-05,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,linear_decay_progress,0.005611597289616589,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,linear_decay_progress_sq,-0.0017244499031991013,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
811_full,step_plus_event_leftover,linear_endpoint_ridge0.01_shrink1_clip0.25,log_residual_minus_step_reference,0.01,1.0,spline,remaining_frac,0.0025644704590197993,0.05,,0.75,0.15,spline_s0.05_shrink0.75_clip0.15
