model_class,config,selection_rule,split,schedule,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae
event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,811_full,test,wsd,early_decay_27126_30000,1438,0.032699852276131834,0.04126025880796009,0.01200495047973251,0.17728471405083823,0.010495416503652655,0.1424532623258572,0.0649012968882996,0.011951600388521208
momentum_baseline,none,811_full,test,wsd,early_decay_27126_30000,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,0.016657533464664632
step_plus_event_leftover,step[spline_s0.05_shrink0.75_clip0.15]_event[linear_endpoint_ridge0.01_shrink1_clip0.25],811_full,test,wsd,early_decay_27126_30000,1438,0.022427106542519795,0.0251832738145471,0.008250477868702099,0.6935144199847759,0.022183109832971882,0.06448262632091772,0.03456638146769331,0.00820761039606778
step_reference,spline_s0.05_shrink1_clip0.15,811_full,test,wsd,early_decay_27126_30000,1438,0.039641494113364754,0.040517796584294975,0.014467171482047732,0.20662719368930127,0.039641494113364754,0.06089992706708092,0.028824605546634352,0.01435914777346931
event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,811_full,test,wsd,endpoint_30000_33906,1954,0.03199694481728114,0.04002835401846255,0.011984544897405967,0.07616505989760303,0.0021993479033384183,0.14039293199470881,0.05014199155324972,0.01196738716179423
momentum_baseline,none,811_full,test,wsd,endpoint_30000_33906,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,0.012571284458576732
step_plus_event_leftover,step[spline_s0.05_shrink0.75_clip0.15]_event[linear_endpoint_ridge0.01_shrink1_clip0.25],811_full,test,wsd,endpoint_30000_33906,1954,0.011169729741166666,0.013921827031746268,0.004190333066301136,0.8882490080839776,0.004680026704746542,0.0422025308737215,0.01661474743817193,0.004182925530199218
step_reference,spline_s0.05_shrink1_clip0.15,811_full,test,wsd,endpoint_30000_33906,1954,0.009485949814944763,0.012092755029450519,0.0035378653931347082,0.9156841097850592,0.007311928146164192,0.03628488175802014,0.0046764046945528825,0.00352883312144585
event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,811_full,test,wsd,full,16454,0.03259626191100557,0.040811783210061334,0.011480322645638731,0.9450828490020892,0.004566198172213452,0.18454718095860123,0.05014199155324972,0.011455915189007638
momentum_baseline,none,811_full,test,wsd,full,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,0.013282397319634065
