coordinate,coordinate_group,target_schedule,window,n,target_step_median,equiv_cosine_step_median,median_step_warp,median_abs_step_warp,q10_step_warp,q90_step_warp,q90_abs_step_warp,outside_support_frac,window_mae,residual_alignment_corr,sign_agreement
step_abs,control_step,811,full,16454,17453.0,17453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016293464639183335,0.9212859972593567,0.8513431384465784
effective_update_hl64_epslr2_0,sujianlin_update_rms,811,full,16454,17453.0,17511.338188062982,-32.80165083865177,44.61767185167264,-117.5536124444774,0.3467609512632774,117.55361244447742,0.0,0.03588572183181386,-0.1254224054016918,0.47568980187188525
softsign_lr_time_hl64_epslr_0,sujianlin_softsign,811,full,16454,17453.0,17511.338188062982,-32.80165083865177,44.61767185167264,-117.5536124444774,0.3467609512632774,117.55361244447742,0.0,0.03588572183181386,-0.1254224054016918,0.47568980187188525
effective_update_hl64_epslr2_1e-12,sujianlin_update_rms,811,full,16454,17453.0,17511.343627510247,-32.824389308040736,44.650703470972985,-117.57833133031636,0.26519468356849263,117.57833133031637,0.0,0.03588572294106019,-0.12542062799324494,0.47581135286252585
effective_update_hl64_epslr2_1e-10,sujianlin_update_rms,811,full,16454,17453.0,17511.882093085445,-35.16711061844853,47.36104710777363,-120.07258491692336,-0.15533007379771058,120.07258491692339,0.0,0.03588551821974998,-0.1252636683966057,0.4750820469186824
softsign_lr_time_hl64_epslr_1e-05,sujianlin_softsign,811,full,16454,17453.0,17554.6605355523,-100.0188071294051,100.0188071294051,-350.4378034223282,-3.621479002463454,350.4378034223283,0.00966330375592561,0.03588135543582896,-0.12676039727954688,0.4772699647502127
effective_update_hl64_epslr2_1e-08,sujianlin_update_rms,811,full,16454,17453.0,17565.331682412994,-110.09989531706378,110.09989531706378,-1014.8417523544565,-3.6264086887222193,1014.841752354457,0.03482435881852437,0.03587324011308049,-0.12702513521737638,0.47957943357238364
effective_update_hl512_epslr2_1e-10,sujianlin_update_rms,811,full,16454,17453.0,17914.79311435234,-298.9589916468749,345.9810270998223,-1035.9422903879822,-2.5265114749486606,1035.9422903879822,0.0,0.03588021379113226,-0.12925455261979393,0.477756168712775
effective_update_hl512_epslr2_1e-12,sujianlin_update_rms,811,full,16454,17453.0,17914.277594646883,-297.87418065472684,349.1132030777835,-1032.378749740784,-2.43094204275771,1032.378749740784,0.0,0.035880858912609545,-0.1290368326187653,0.47745229123617355
effective_update_hl512_epslr2_0,sujianlin_update_rms,811,full,16454,17453.0,17914.27238698725,-297.85893035575646,349.1601578712625,-1032.3377558032469,-2.4309403560492635,1032.337755803247,0.0,0.035880862908968414,-0.1290287769494428,0.47757384222681415
softsign_lr_time_hl512_epslr_0,sujianlin_softsign,811,full,16454,17453.0,17914.27238698725,-297.85893035575646,349.1601578712625,-1032.3377558032469,-2.4309403560492635,1032.337755803247,0.0,0.035880862908968414,-0.1290287769494428,0.47757384222681415
softsign_lr_time_hl512_epslr_1e-05,sujianlin_softsign,811,full,16454,17453.0,17956.135120571824,-357.92243757122924,357.92243757122924,-1232.9080627004794,-16.644464044705764,1232.9080627004796,0.0003038774766014343,0.035861053791337735,-0.11656157491307498,0.49392245046797134
softsign_lr_time_hl64_epslr_1e-04,sujianlin_softsign,811,full,16454,17453.0,17922.272570792506,-430.0592837294207,430.0592837294207,-3113.8118813857045,-7.5252303649197465,3113.811881385705,0.12665613224747782,0.035768758854272414,-0.06910815037010634,0.5088732223167619
effective_update_hl512_epslr2_1e-08,sujianlin_update_rms,811,full,16454,17453.0,17965.964693927668,-478.02151120382587,478.02151120382587,-1583.5598238436055,-19.157573245530404,1583.5598238436055,0.031238604594627448,0.03584496575043772,-0.11243284314396894,0.49659657226206394
noise_ratio_eps1e00,sujianlin_noise,811,full,16454,17453.0,18041.405291430536,-498.47556940714094,498.47556940714094,-6061.4,4.687625049327108,6061.4000000000015,0.25847818159718,0.03558443073410557,-0.014655415140191672,0.5369515011547344
noise_ratio_eps1e-02,sujianlin_noise,811,full,16454,17453.0,18068.348336824158,-520.3341314009322,520.3341314009322,-6093.4,-0.42703166474911913,6093.4000000000015,0.25847818159718,0.035583552156232136,-0.01396876768718871,0.5371946031360155
noise_ratio_eps1e-04,sujianlin_noise,811,full,16454,17453.0,18068.61736961088,-520.5889519109751,520.5889519109751,-6093.4,-0.4817937557138967,6093.4000000000015,0.2584174061018597,0.03558309211811236,-0.013843304309776153,0.5374377051172967
noise_ratio_eps1e-12,sujianlin_noise,811,full,16454,17453.0,18068.620087025593,-520.5915257666475,520.5915257666475,-6093.4,-0.48234660776279187,6093.4000000000015,0.2584174061018597,0.03558308792255225,-0.01384210652686614,0.5374377051172967
softsign_lr_time_hl512_epslr_1e-04,sujianlin_softsign,811,full,16454,17453.0,18311.15403461989,-750.5806132094258,750.5806132094258,-4141.758859527337,-21.757884951464785,4141.758859527338,0.13960131275069892,0.03570877639539757,-0.03952062864020717,0.5142214659049471
softsign_lr_time_hl64_epslr_1e-03,sujianlin_softsign,811,full,16454,17453.0,20257.342128498312,-1789.8816078805648,1789.8816078805648,-9191.4,-27.03247676055623,9191.400000000001,0.36003403427737934,0.035376683763069516,0.029794524255247815,0.5616871277500911
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,811,full,16454,17453.0,20676.54606567551,-1908.8845312620651,1908.8845312620651,-9953.711102463996,-27.155714156270705,9953.711102463998,0.387504558162149,0.03532407206487924,0.04025833930806074,0.5693448401604473
effective_update_hl4096_epslr2_0,sujianlin_update_rms,811,full,16454,17453.0,20312.917005976873,-1924.108299694095,1924.108299694095,-8179.540866491889,-42.628060477985265,8179.54086649189,0.3126899234228759,0.035428671777483385,0.022991371294680225,0.5531177829099307
softsign_lr_time_hl4096_epslr_0,sujianlin_softsign,811,full,16454,17453.0,20312.917005976873,-1924.108299694095,1924.108299694095,-8179.540866491889,-42.628060477985265,8179.54086649189,0.3126899234228759,0.035428671777483385,0.022991371294680225,0.5531177829099307
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,811,full,16454,17453.0,20312.920821109597,-1924.109281003748,1924.109281003748,-8179.549994560196,-42.62806854967635,8179.549994560197,0.3126899234228759,0.0354286675227693,0.022992708724270294,0.5531177829099307
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,811,full,16454,17453.0,20313.298487692373,-1924.2064218986252,1924.2064218986252,-8181.058695293959,-42.628867586929715,8181.058695293961,0.3127506989181962,0.03542825501039352,0.02309163063017212,0.553603986872493
softsign_lr_time_hl512_epslr_1e-03,sujianlin_softsign,811,full,16454,17453.0,20556.66581660443,-1926.7885235538488,1926.7885235538488,-9427.848914450358,-34.749827206745486,9427.848914450358,0.3673878692111341,0.03536668237994414,0.03226513657650192,0.5620517807220129
softsign_lr_time_hl4096_epslr_1e-05,sujianlin_softsign,811,full,16454,17453.0,20346.022567789354,-1936.657324552376,1936.657324552376,-8252.272558412262,-42.707818066236406,8252.272558412262,0.31572869818889027,0.03542558049260065,0.021973838470346983,0.5536647623678133
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,811,full,16454,17453.0,20350.77868587211,-1937.9577398184265,1937.9577398184265,-8285.4,-42.70798101762344,8285.400000000001,0.3176735140391394,0.03542525542101859,0.022084076844279286,0.5531177829099307
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,811,full,16454,17453.0,20940.814141212795,-2023.7128618487768,2023.7128618487768,-10107.4,-34.810609651626564,10107.400000000001,0.3921842713018111,0.03531460680188615,0.04274656387881581,0.5686763097119242
softsign_lr_time_hl4096_epslr_1e-04,sujianlin_softsign,811,full,16454,17453.0,20625.1285935512,-2038.0873986678835,2038.0873986678835,-8801.4,-43.360561331608416,8801.400000000001,0.3379725294761152,0.03540082625365887,0.025310514154845466,0.5568858636197885
softsign_lr_time_hl4096_epslr_1e-03,sujianlin_softsign,811,full,16454,17453.0,22319.237289568046,-2507.475021284039,2507.475021284039,-10781.4,-46.531180573673964,10781.400000000001,0.4112070013370609,0.03529420155119158,0.04976654698882019,0.5744499817673514
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,811,full,16454,17453.0,22493.963996472343,-2529.116984808119,2529.116984808119,-10997.4,-46.53531900643279,10997.400000000001,0.4197155706819011,0.035282410402671764,0.05343979381308943,0.5746930837486326
s1_ratio,control_s1,811,full,16454,17453.0,12611.543090652693,2953.2739049581432,2953.2739049581432,-422.61335727404213,4860.617943860644,4860.617943860644,0.01610550625987602,0.03580007487734331,-0.10404007305574244,0.5050443661115838
s1_raw,control_s1,811,full,16454,17453.0,25571.54114557738,-3001.9952773717905,3001.9952773717905,-12317.438140179569,-50.416991835458106,12317.43814017957,0.4636562537984685,0.035185829841645824,0.07954183896971619,0.5848425914671205
sqrt_cum_lr2,sujianlin_noise,811,full,16454,17453.0,33906.0,-5119.485734858574,5119.485734858574,-16963.4,-99.87078219289168,16963.4,0.6143794821927798,0.03497076095651772,0.1269326328519574,0.6120092378752887
step_abs,control_step,811,last_2048_sampled,2048,31859.0,31859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009555855654943358,0.9851320918229316,0.91357421875
effective_update_hl64_epslr2_1e-10,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31803.803111966434,49.96348617136391,53.27759164400595,-65.03695370874448,58.457055444507205,65.03695370874448,0.0,0.03272854381190546,-0.04239593300865803,0.44921875
effective_update_hl64_epslr2_1e-12,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31793.235655332308,60.03216485164012,60.03216485164012,-54.67442054507774,69.62230068867976,69.62230068867976,0.0,0.03273210225350507,-0.04935069463785938,0.44921875
effective_update_hl64_epslr2_0,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31793.129152121197,60.13305877755556,60.13305877755556,-54.56979624954438,69.73543279662954,69.73543279662954,0.0,0.032732089752422255,-0.049367631280455605,0.44921875
softsign_lr_time_hl64_epslr_0,sujianlin_softsign,811,last_2048_sampled,2048,31859.0,31793.129152121197,60.13305877755556,60.13305877755556,-54.56979624954438,69.73543279662954,69.73543279662954,0.0,0.032732089752422255,-0.049367631280455605,0.44921875
softsign_lr_time_hl512_epslr_1e-05,sujianlin_softsign,811,last_2048_sampled,2048,31859.0,32132.616542672276,-273.6165426722764,273.6165426722764,-908.6739067732312,-22.195495077961098,908.6739067732312,0.00244140625,0.03273569607948945,0.013319093503755952,0.44921875
softsign_lr_time_hl64_epslr_1e-05,sujianlin_softsign,811,last_2048_sampled,2048,31859.0,32174.39337702171,-316.7446432242068,316.7446432242068,-422.6996564595949,-315.3401618669101,422.6996564595949,0.07763671875,0.0327152682793716,0.005892316651012784,0.44921875
effective_update_hl512_epslr2_1e-10,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31724.032243957565,134.9677560424352,346.51371275793645,-532.709349454095,387.12718918983666,532.709349454095,0.0,0.032741576550707335,-0.04093218472510981,0.44921875
effective_update_hl512_epslr2_1e-12,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31711.35714471867,147.6428552813304,356.1112359266135,-522.3033488045279,400.4418167654141,522.3033488045279,0.0,0.03274265258288911,-0.03867998585227924,0.44921875
effective_update_hl512_epslr2_0,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,31711.229168673643,147.77083132635926,356.24544891744335,-522.1982894914399,400.5762180516198,522.1982894914399,0.0,0.032742668179231826,-0.038542419074278494,0.44921875
softsign_lr_time_hl512_epslr_0,sujianlin_softsign,811,last_2048_sampled,2048,31859.0,31711.229168673643,147.77083132635926,356.24544891744335,-522.1982894914399,400.5762180516198,522.1982894914399,0.0,0.032742668179231826,-0.038542419074278494,0.44921875
s1_ratio,control_s1,811,last_2048_sampled,2048,31859.0,32583.18329118074,-708.2999617507212,708.2999617507212,-1126.3690160527701,-141.97868641626633,1126.3690160527701,0.0,0.032735988788028754,0.019584664830147067,0.44921875
effective_update_hl64_epslr2_1e-08,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33006.02534280551,-1145.8631656270627,1145.8631656270627,-1194.3279000666066,-409.4000000000001,1194.3279000666066,0.27978515625,0.032684461037986744,0.08337462924684728,0.44921875
effective_update_hl512_epslr2_1e-08,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33037.98306010934,-1178.983060109338,1178.983060109338,-1655.2614345525603,-409.4000000000001,1655.2614345525603,0.2509765625,0.032660807542827394,0.13248143100413354,0.44921875
effective_update_hl4096_epslr2_0,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
noise_ratio_eps1e-02,sujianlin_noise,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
noise_ratio_eps1e-04,sujianlin_noise,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
noise_ratio_eps1e-12,sujianlin_noise,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
noise_ratio_eps1e00,sujianlin_noise,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
s1_raw,control_s1,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.03296580355848792,,0.44921875
