step,lr,loss
2176,0.0003,3.7666
2304,0.0003,3.7202
2432,0.0003,3.677
2560,0.0003,3.6507
2688,0.0003,3.6155
2816,0.0003,3.5861
2944,0.0003,3.5619
3072,0.0003,3.5377
3200,0.0003,3.5171
3328,0.0003,3.499
3456,0.0003,3.4801
3584,0.0003,3.4654
3712,0.0003,3.4505
3840,0.0003,3.4352
3968,0.0003,3.4243
4096,0.0003,3.4092
4224,0.0003,3.3982
4352,0.0003,3.3891
4480,0.0003,3.3759
4608,0.0003,3.3661
4736,0.0003,3.3588
4864,0.0003,3.3502
4992,0.0003,3.3423
5120,0.0003,3.3336
5248,0.0003,3.3243
5376,0.0003,3.3171
5504,0.0003,3.3096
5632,0.0003,3.3034
5760,0.0003,3.2964
5888,0.0003,3.2916
6016,0.0003,3.2851
6144,0.0003,3.2797
6272,0.0003,3.2729
6400,0.0003,3.268
6528,0.0003,3.2622
6656,0.0003,3.2591
6784,0.0003,3.253
6912,0.0003,3.2498
7040,0.0003,3.2438
7168,0.0003,3.2422
7296,0.0003,3.2359
7424,0.0003,3.2316
7552,0.0003,3.2273
7680,0.0003,3.2245
7808,0.0003,3.2206
7936,0.0003,3.2169
8000,3.0000000000000004e-05,3.215
8128,3.0000000000000004e-05,3.1597
8256,3.0000000000000004e-05,3.1474
8384,3.0000000000000004e-05,3.1401
8512,3.0000000000000004e-05,3.1346
8640,3.0000000000000004e-05,3.1303
8768,3.0000000000000004e-05,3.1268
8896,3.0000000000000004e-05,3.1237
9024,3.0000000000000004e-05,3.1209
9152,3.0000000000000004e-05,3.1187
9280,3.0000000000000004e-05,3.1164
9408,3.0000000000000004e-05,3.1143
9536,3.0000000000000004e-05,3.1124
9664,3.0000000000000004e-05,3.1106
9792,3.0000000000000004e-05,3.1088
9920,3.0000000000000004e-05,3.1075
10048,3.0000000000000004e-05,3.1059
10176,3.0000000000000004e-05,3.1044
10304,3.0000000000000004e-05,3.103
10432,3.0000000000000004e-05,3.1019
10560,3.0000000000000004e-05,3.1004
10688,3.0000000000000004e-05,3.0992
10816,3.0000000000000004e-05,3.0981
10944,3.0000000000000004e-05,3.097
11072,3.0000000000000004e-05,3.0959
11200,3.0000000000000004e-05,3.0949
11328,3.0000000000000004e-05,3.0939
11456,3.0000000000000004e-05,3.093
11584,3.0000000000000004e-05,3.0919
11712,3.0000000000000004e-05,3.0909
11840,3.0000000000000004e-05,3.09
11968,3.0000000000000004e-05,3.0893
12096,3.0000000000000004e-05,3.0883
12224,3.0000000000000004e-05,3.0874
12352,3.0000000000000004e-05,3.0866
12480,3.0000000000000004e-05,3.0859
12608,3.0000000000000004e-05,3.0848
12736,3.0000000000000004e-05,3.084
12864,3.0000000000000004e-05,3.0832
12992,3.0000000000000004e-05,3.0826
13120,3.0000000000000004e-05,3.0817
13248,3.0000000000000004e-05,3.081
13376,3.0000000000000004e-05,3.0803
13504,3.0000000000000004e-05,3.0796
13632,3.0000000000000004e-05,3.0789
13760,3.0000000000000004e-05,3.0781
13888,3.0000000000000004e-05,3.0775
14016,3.0000000000000004e-05,3.0769
14144,3.0000000000000004e-05,3.0761
14272,3.0000000000000004e-05,3.0755
14400,3.0000000000000004e-05,3.0749
14528,3.0000000000000004e-05,3.0744
14656,3.0000000000000004e-05,3.0737
14784,3.0000000000000004e-05,3.0731
14912,3.0000000000000004e-05,3.0725
15040,3.0000000000000004e-05,3.0718
15168,3.0000000000000004e-05,3.0712
15296,3.0000000000000004e-05,3.0705
15424,3.0000000000000004e-05,3.07
15552,3.0000000000000004e-05,3.0693
15680,3.0000000000000004e-05,3.0686
15808,3.0000000000000004e-05,3.0682
15936,3.0000000000000004e-05,3.0676
