step,lr,loss
2176,0.0003,3.5581
2304,0.0003,3.5306
2432,0.0003,3.4758
2560,0.0003,3.4428
2688,0.0003,3.4142
2816,0.0003,3.3857
2944,0.0003,3.3619
3072,0.0003,3.3367
3200,0.0003,3.3178
3328,0.0003,3.2977
3456,0.0003,3.2795
3584,0.0003,3.2629
3712,0.0003,3.2488
3840,0.0003,3.2402
3968,0.0003,3.224
4096,0.0003,3.2116
4224,0.0003,3.1991
4352,0.0003,3.187
4480,0.0003,3.1761
4608,0.0003,3.1663
4736,0.0003,3.1553
4864,0.0003,3.1482
4992,0.0003,3.1371
5120,0.0003,3.1302
5248,0.0003,3.122
5376,0.0003,3.1137
5504,0.0003,3.1058
5632,0.0003,3.099
5760,0.0003,3.0919
5888,0.0003,3.0872
6016,0.0003,3.0879
6144,0.0003,3.0747
6272,0.0003,3.0684
6400,0.0003,3.0622
6528,0.0003,3.0604
6656,0.0003,3.0528
6784,0.0003,3.0478
6912,0.0003,3.0424
7040,0.0003,3.0385
7168,0.0003,3.0336
7296,0.0003,3.0275
7424,0.0003,3.0258
7552,0.0003,3.0216
7680,0.0003,3.0162
7808,0.0003,3.0131
7936,0.0003,3.0084
8064,0.0003,3.0045
8192,0.0003,3.0006
8320,0.0003,2.9975
8448,0.0003,2.9938
8576,0.0003,2.9895
8704,0.0003,2.987
8832,0.0003,2.9835
8960,0.0003,2.9795
9088,0.0003,2.9763
9216,0.0003,2.9738
9344,0.0003,2.9705
9472,0.0003,2.969
9600,0.0003,2.9649
9728,0.0003,2.9612
9856,0.0003,2.9595
9984,0.0003,2.9572
10112,0.0003,2.955
10240,0.0003,2.9518
10368,0.0003,2.9491
10496,0.0003,2.947
10624,0.0003,2.9471
10752,0.0003,2.9431
10880,0.0003,2.9401
11008,0.0003,2.9387
11136,0.0003,2.935
11264,0.0003,2.9337
11392,0.0003,2.9323
11520,0.0003,2.9288
11648,0.0003,2.927
11776,0.0003,2.9252
11904,0.0003,2.9246
12032,0.0003,2.9205
12160,0.0003,2.9187
12288,0.0003,2.917
12416,0.0003,2.9148
12544,0.0003,2.914
12672,0.0003,2.9118
12800,0.0003,2.9102
12928,0.0003,2.9075
13056,0.0003,2.9054
13184,0.0003,2.904
13312,0.0003,2.9028
13440,0.0003,2.9008
13568,0.0003,2.8994
13696,0.0003,2.8983
13824,0.0003,2.8974
13952,0.0003,2.8951
14080,0.0003,2.8934
14208,0.0003,2.8924
14336,0.0003,2.8908
14464,0.0003,2.8885
14592,0.0003,2.8873
14720,0.0003,2.8856
14848,0.0003,2.8856
14976,0.0003,2.8844
15104,0.0003,2.8832
15232,0.0003,2.8802
15360,0.0003,2.8797
15488,0.0003,2.8786
15616,0.0003,2.8759
15744,0.0003,2.8753
15872,0.0003,2.8761
16000,0.0003,2.8737
16128,0.0003,2.8714
16256,0.0003,2.8698
16384,0.0003,2.8694
16512,0.0003,2.8671
16640,0.0003,2.8657
16768,0.0003,2.8666
16896,0.0003,2.864
17024,0.0003,2.8628
17152,0.0003,2.8623
17280,0.0003,2.8609
17408,0.0003,2.8595
17536,0.0003,2.8592
17664,0.0003,2.8582
17792,0.0003,2.8569
17920,0.0003,2.8561
18048,0.0003,2.855
18176,0.0003,2.8548
18304,0.0003,2.8527
18432,0.0003,2.852
18560,0.0003,2.8497
18688,0.0003,2.8496
18816,0.0003,2.8488
18944,0.0003,2.8472
19072,0.0003,2.8465
19200,0.0003,2.8454
19328,0.0003,2.8445
19456,0.0003,2.8432
19584,0.0003,2.8429
19712,0.0003,2.8418
19840,0.0003,2.8404
19968,0.0003,2.8398
20096,0.0003,2.84
20224,0.0003,2.839
20352,0.0003,2.838
20480,0.0003,2.8375
20608,0.0003,2.8362
20736,0.0003,2.8354
20864,0.0003,2.8346
20992,0.0003,2.8339
21120,0.0003,2.8325
21248,0.0003,2.832
21376,0.0003,2.8305
21504,0.0003,2.8298
21632,0.0003,2.8292
21760,0.0003,2.8286
21888,0.0003,2.8277
22016,0.0003,2.8275
22144,0.0003,2.826
22272,0.0003,2.826
22400,0.0003,2.8256
22528,0.0003,2.824
22656,0.0003,2.824
22784,0.0003,2.823
22912,0.0003,2.8215
23040,0.0003,2.8217
23168,0.0003,2.8208
23296,0.0003,2.8201
23424,0.0003,2.8193
23552,0.0003,2.8186
23680,0.0003,2.818
23808,0.0003,2.8177
23936,0.0003,2.8167
