step,lr,loss
2176,0.00029999996503488155,3.5414
2304,0.0002999971678351888,3.5025
2432,0.00029998989520640213,3.4589
2560,0.00029997814738962395,3.4341
2688,0.00029996192477431806,3.4025
2816,0.000299941227898297,3.3729
2944,0.00029991605744770404,3.3492
3072,0.0002998864142569906,3.3264
3200,0.0002998522993088883,3.3058
3328,0.0002998137137343767,3.2891
3456,0.00029977065881264554,3.2731
3584,0.0002997231359710526,3.2555
3712,0.0002996711467850762,3.2415
3840,0.000299614692978263,3.2295
3968,0.00029955377642217084,3.2147
4096,0.0002994883991363066,3.2023
4224,0.00029941856328805967,3.1906
4352,0.00029934427119262955,3.1809
4480,0.00029926552531294955,3.1689
4608,0.0002991823282596046,3.1595
4736,0.00029909468279074546,3.1511
4864,0.0002990025918119965,3.1407
4992,0.00029890605837636005,3.1322
5120,0.00029880508568411456,3.1239
5248,0.000298699677082709,3.1186
5376,0.00029858983606665166,3.1087
5504,0.0002984755662773943,3.1008
5632,0.00029835687150321156,3.0945
5760,0.0002982337556790752,3.0888
5888,0.00029810622288652377,3.0828
6016,0.00029797427735352714,3.0759
6144,0.00029783792345434664,3.0716
6272,0.00029769716570938966,3.0642
6400,0.00029755200878506016,3.0591
6528,0.00029740245749360365,3.0529
6656,0.00029724851679294786,3.0482
6784,0.00029709019178653833,3.0436
6912,0.00029692748772316914,3.0377
7040,0.000296760409996809,3.033
7168,0.00029658896414642245,3.029
7296,0.000296413155855786,3.0251
7424,0.0002962329909533001,3.0213
7552,0.0002960484754117956,3.0154
7680,0.00029585961534833564,3.0119
7808,0.0002956664170240134,3.0077
7936,0.0002954688868437439,3.0046
8064,0.0002952670313560521,3.0004
8192,0.00029506085725285555,2.9962
8320,0.0002948503713692427,2.9932
8448,0.00029463558068324624,2.9895
8576,0.0002944164923156117,2.9862
8704,0.00029419311352956156,2.9832
8832,0.00029396545173055415,2.9793
8960,0.00029373351446603863,2.9762
9088,0.0002934973094252042,2.9735
9216,0.0002932568444387256,2.9696
9344,0.0002930121274785035,2.9678
9472,0.0002927631666573998,2.9626
9600,0.0002925099702289693,2.9612
9728,0.0002922525465871855,2.9579
9856,0.0002919909042661627,2.956
9984,0.000291725051939873,2.9537
10112,0.00029145499842185845,2.9508
10240,0.0002911807526649393,2.9475
10368,0.000290902323760917,2.9458
10496,0.0002906197209402727,2.9432
10624,0.00029033295357186136,2.9396
10752,0.0002900420311626011,2.9378
10880,0.0002897469633571581,2.9362
11008,0.0002894477599376268,2.9331
11136,0.00028914443082320553,2.9309
11264,0.0002888369860698678,2.9293
11392,0.00028852543587002885,2.9261
11520,0.0002882097905522079,2.9244
11648,0.00028789006058068544,2.9222
11776,0.0002875662565551565,2.921
11904,0.0002872383892103794,2.9177
12032,0.0002869064694158195,2.9157
12160,0.0002865705081752893,2.914
12288,0.0002862305166265832,2.9115
12416,0.00028588650604110855,2.91
12544,0.00028553848782351184,2.9079
12672,0.0002851864735113008,2.9061
12800,0.0002848304747744617,2.9044
12928,0.0002844705034150724,2.9019
13056,0.0002841065713669116,2.8997
13184,0.00028373869069506236,2.8991
13312,0.000283366873595513,2.8975
13440,0.0002829911323947522,2.8957
13568,0.00028261147954936056,2.8939
13696,0.00028222792764559756,2.8924
13824,0.0002818404893989845,2.89
13952,0.00028144917765388257,2.8879
14080,0.0002810540053830675,2.8868
14208,0.0002806549856872991,2.8859
14336,0.0002802521317948872,2.8844
14464,0.0002798454570612529,2.8828
14592,0.000279434974968486,2.8804
14720,0.0002790206991248979,2.8797
14848,0.0002786026432645705,2.8792
14976,0.000278180821246901,2.8769
15104,0.00027775524705614217,2.875
15232,0.0002773259348009391,2.8737
15360,0.000276892898713861,2.8721
15488,0.00027645615315093005,2.8707
15616,0.0002760157125911446,2.8691
15744,0.00027557159163599997,2.8687
15872,0.0002751238050090038,2.8675
16000,0.0002746723675551883,2.8661
16128,0.00027421729424061787,2.8644
16256,0.00027375860015189317,2.8625
16384,0.00027329630049565074,2.8609
16512,0.0002728304105980589,2.86
16640,0.0002723609459043101,2.858
16768,0.000271887921978108,2.8566
16896,0.00027141135450115244,2.8558
17024,0.00027093125927261886,2.8552
17152,0.00027044765220863486,2.8532
17280,0.0002699605493417526,2.8515
17408,0.0002694699668204171,2.8507
17536,0.0002689759209084309,2.8497
17664,0.0002684784279844151,2.848
17792,0.000267977504541266,2.8471
17920,0.0002674731671856087,2.8457
18048,0.00026696543263724637,2.8442
18176,0.000266454317728606,2.8429
18304,0.0002659398394041804,2.8417
18432,0.0002654220147199663,2.8398
18560,0.0002649008608428991,2.8394
18688,0.00026437639505028364,2.8393
18816,0.0002638486347292215,2.8379
18944,0.0002633175973760345,2.8367
19072,0.00026278330059568473,2.8362
19200,0.00026224576210119084,2.8347
19328,0.00026170499971304095,2.8344
19456,0.0002611610313586017,2.8328
19584,0.00026061387507152396,2.8315
19712,0.00026006354899114507,2.8304
19840,0.00025951007136188744,2.829
19968,0.0002589534605326537,2.8279
20096,0.0002583937349562183,2.8269
20224,0.000257830913188616,2.8268
20352,0.0002572650138885264,2.8267
20480,0.00025669605581665576,2.8245
20608,0.00025612405783511456,2.8229
20736,0.00025554903890679254,2.8214
20864,0.0002549710180947299,2.8212
20992,0.0002543900145614855,2.8209
21120,0.0002538060475685012,2.8193
21248,0.00025321913647546375,2.8186
21376,0.00025262930073966265,2.8169
21504,0.0002520365599153452,2.8161
21632,0.00025144093365306845,2.8156
21760,0.0002508424416990474,2.8146
21888,0.00025024110389450043,2.8139
22016,0.0002496369401749918,2.8124
