model,split,run,mae,rmse,r2,max_abs_error,endpoint_abs_diff
momentum_s2,train,cosine,0.032224191331341356,0.04031034208164653,0.9532008216458621,0.176202208154697,0.025073923977123158
momentum_s2,validation,811,0.035824201090405676,0.04496621364527732,0.935204725980394,0.20532849558133348,0.011542459009286521
momentum_s2,test,wsd,0.03784420297520016,0.04738294458011642,0.9256689877020283,0.1919682245767178,0.02226006510344236
momentum_residual_mlp_seed3081_shrink0p0,train,cosine,0.032224191331341356,0.04031034208164653,0.9532008216458621,0.176202208154697,0.025073923977123158
momentum_residual_mlp_seed3081_shrink0p0,validation,811,0.035824201090405676,0.04496621364527732,0.935204725980394,0.20532849558133348,0.011542459009286521
momentum_residual_mlp_seed3081_shrink0p0,test,wsd,0.03784420297520016,0.04738294458011642,0.9256689877020283,0.1919682245767178,0.02226006510344236
momentum_residual_mlp_seed3081_shrink0p75,train,cosine,0.032194680424344604,0.040262628494260475,0.9533115443559266,0.17515635073237457,0.02301063857194574
momentum_residual_mlp_seed3081_shrink0p75,validation,811,0.033973454926535855,0.04254325683828439,0.9419994437120874,0.19145651643270734,0.0020032474962339286
momentum_residual_mlp_seed3081_shrink0p75,test,wsd,0.03456782059747801,0.04335615779389627,0.9377660263642745,0.18871953328351498,0.012539661865994312
momentum_residual_mlp_seed3081_shrink1p0,train,cosine,0.032193523604344375,0.04025732936254193,0.9533238332701992,0.17480765932899178,0.02232323098438771
momentum_residual_mlp_seed3081_shrink1p0,validation,811,0.033844681033268764,0.04233486503139621,0.9425662662276602,0.1868479261195639,0.006503089513241189
momentum_residual_mlp_seed3081_shrink1p0,test,wsd,0.033871690991036554,0.042458827804335394,0.9403154456776949,0.18923430687784393,0.00930743343359186
momentum_residual_mlp_seed3081_shrink1p25,train,cosine,0.032196744424793464,0.040257333813499725,0.9533238229489155,0.1744589317880636,0.02163600042789815
momentum_residual_mlp_seed3081_shrink1p25,validation,811,0.03395955410521345,0.04243650131251003,0.9422901648074252,0.18247342027172575,0.010995256660703667
momentum_residual_mlp_seed3081_shrink1p25,test,wsd,0.03338089439559896,0.041809067840629925,0.9421282087755907,0.18974900163158903,0.00607914995179426
