analysis,series,source,schedule,window,step_start,step_end,n,lag,acf
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,1,0.9464572612290714
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,2,0.9467462549844966
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,4,0.9452137588206712
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,8,0.9435801689285961
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,16,0.9409417299159905
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,32,0.9342067701407264
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,64,0.9219891757040589
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,128,0.8983498089579057
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,256,0.855462816675711
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,512,0.7843311027138988
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,1024,0.6711459625570791
loss,log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,2048,0.5234985568848243
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,1,-0.5061213538996853
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,2,0.01509558426909618
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,4,-0.0017624218761384425
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,8,-0.005876069114493056
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,16,0.011362097637876248
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,32,-0.0038889154765382465
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,64,0.0009820864133010818
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,128,-0.007193779249817807
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,256,-0.003239507101786101
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,512,-0.005290663522010575
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,1024,-0.002627751526441302
loss,diff_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,2048,0.003138423562077798
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,1,0.0002861841936795058
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,2,0.012451003081660318
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,4,-0.002076571126358588
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,8,-0.0027398572105527797
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,16,0.00745800163207825
loss,detrended_log_loss,loss_curves,cosine,full_ge1000,1000,33907,32908,32,-0.0012811281854017242
