method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2,max_abs_error,endpoint_abs_diff,residual_mean
momentum_mpl_hybrid_decay,none,none,811,full,16454,0.035786677452969595,0.044917079432651615,0.012653357784427404,0.9356011148197827,0.1833267369260998,0.058343827724042896,-0.01321151805496938
momentum_mpl_hybrid_decay,none,none,811,steps_20000_30000,5001,0.039836180659503104,0.049750368243529255,0.014496501715749805,0.19257113231493506,0.1633332522191182,0.0544410128038475,-0.026982164063859625
momentum_mpl_hybrid_decay,none,none,cosine,full,16454,0.03233900437067206,0.040413590175866855,0.011489331289177897,0.9531105867716734,0.176202208154697,0.0413117703349406,-0.00042619333705065453
momentum_mpl_hybrid_decay,none,none,cosine,steps_20000_30000,5001,0.03202449796132803,0.040008808973344384,0.011812995310952942,0.22886628789819807,0.13740107479557917,0.05552269141080268,0.002005986445493614
momentum_mpl_hybrid_decay,none,none,wsd,full,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.19079639100935175,0.04566822982802332,-0.02083323488154805
momentum_mpl_hybrid_decay,none,none,wsd,steps_20000_30000,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.17018541155138633,0.0826127090682327,-0.035600683440698465
momentum_mpl_hybrid_decay,mean_shift,constant_residual,811,full,16454,0.035623719571470536,0.044708034449939996,0.01259227099945552,0.9361991473359976,0.1825842997464533,0.05903011950497561,-0.01246926374506923
momentum_mpl_hybrid_decay,mean_shift,constant_residual,811,steps_20000_30000,5001,0.03949120803755417,0.04935999125189631,0.014369879460419715,0.20519274757306283,0.162608514562391,0.05374299192387211,-0.02625864571074168
momentum_mpl_hybrid_decay,mean_shift,constant_residual,cosine,full,16454,0.03234888126477143,0.04041277392378641,0.011489806378807609,0.9531124808471275,0.17707267000123572,0.04200308508815764,0.0003052575666962122
momentum_mpl_hybrid_decay,mean_shift,constant_residual,cosine,steps_20000_30000,5001,0.03206743165205426,0.04005038765722037,0.011825681869627123,0.22726267179117043,0.13670719594345115,0.05482898272305814,0.002707203169501192
momentum_mpl_hybrid_decay,mean_shift,constant_residual,wsd,full,16454,0.03745600006401701,0.046957506055453235,0.013284498024271403,0.9272979088067953,0.19005395382970525,0.0463561152739409,-0.020089341416264308
momentum_mpl_hybrid_decay,mean_shift,constant_residual,wsd,steps_20000_30000,5001,0.043167347524245434,0.05327095377042327,0.01570852811918929,-0.23710222285489957,0.16946109513351804,0.08190626918368604,-0.03487376224791398
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,811,full,16454,0.017600379042939162,0.02198393633769935,0.006261965445823048,0.984573541168218,0.08319986294174253,0.017514125102278122,-0.012781945534986261
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,811,steps_20000_30000,5001,0.029505054865066972,0.03237104606570204,0.010638425919407194,0.6581582203607286,0.08319986294174253,0.002861980505087125,-0.02903188475653069
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,cosine,full,16454,0.005485072174305185,0.0070007565199421765,0.0019383756702911414,0.9985929488710809,0.0251192501093076,0.00018323495669125833,2.410723476002099e-05
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,cosine,steps_20000_30000,5001,0.005094334784950181,0.006482380563372905,0.0018794270333362326,0.9797564119368404,0.020694128373295317,0.004262301016220604,2.392677161704523e-05
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,wsd,full,16454,0.021741172782549594,0.02606845727830666,0.007749393197128718,0.9775938356224898,0.06751641337628822,0.0047437149569762305,-0.0204002121401843
momentum_mpl_hybrid_decay,step_spline_reference,spline_s0.1_shrink1,wsd,steps_20000_30000,5001,0.03765217433771194,0.03844895983378798,0.01358581909623815,0.3555431670606424,0.06751641337628822,0.030411569148949713,-0.03765217433771194
