method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum,none,none,811,full,33908,1.715292726859526,3.2441897305729492,0.6193061107003582,-37.65815478929507
momentum,none,none,811,steps_20000_30000,10001,1.6256475192686535,2.7751176928448253,0.5983056305488109,-2502.170099338211
momentum,none,none,wsd,full,33907,1.3612890775240725,2.624732904995059,0.48732520225508474,-24.42822709376416
momentum,none,none,wsd,steps_20000_30000,10000,0.8905382949701499,1.4778062695523932,0.3250162475591391,-949.0162152020218
momentum,none,none,cosine,full,33907,4.590061042501142,5.493619923096359,1.6686433806916063,-107.08505483775974
momentum,none,none,cosine,steps_20000_30000,10000,7.354603754595318,7.4116062336773645,2.7165763623120256,-26648.67218123301
momentum,residual,step,811,full,33908,3.9986711413126854,5.676127834523194,1.4274380633514816,-117.3403817477433
momentum,residual,step,811,steps_20000_30000,10001,3.6023257595561833,4.589675482265227,1.3146988008172993,-6845.860959383066
momentum,residual,step,wsd,full,33907,3.3638656238447022,4.619805007621981,1.1913882728417329,-77.77585767450408
momentum,residual,step,wsd,steps_20000_30000,10000,2.3582985050214273,2.6058818628745417,0.8532692747391436,-2952.9657460574267
momentum,residual,step,cosine,full,33907,7.085943302625851,8.9220702561433,2.577414538989248,-284.0885045802487
momentum,residual,step,cosine,steps_20000_30000,10000,12.062543556386505,12.2063347474401,4.456760297185663,-72282.26265368088
momentum,residual,lr_cumulative,811,full,33908,2.245978471677675,2.6260036192101706,0.7960783167504203,-24.329071554035796
momentum,residual,lr_cumulative,811,steps_20000_30000,10001,2.20059058810745,2.459762991546734,0.8005244795147827,-1965.5911296673662
momentum,residual,lr_cumulative,wsd,full,33907,2.0697117181957756,2.3501149715681993,0.7305706716938624,-19.38562674446256
momentum,residual,lr_cumulative,wsd,steps_20000_30000,10000,1.8378174208365883,1.925412700467333,0.6648129882398895,-1611.6631899262302
momentum,residual,lr_cumulative,cosine,full,33907,6.999654378223309,8.900918263695653,2.560181949753188,-282.7383601208518
momentum,residual,lr_cumulative,cosine,steps_20000_30000,10000,12.062543556386505,12.2063347474401,4.456760297185663,-72282.26265368088
momentum,residual,drop_momentum,811,full,33908,2.5069734027441957,2.800669453055258,0.8857896399194612,-27.81060242333936
momentum,residual,drop_momentum,811,steps_20000_30000,10001,2.316081555705938,2.5361695341492956,0.8421774982808322,-2089.663380909792
momentum,residual,drop_momentum,wsd,full,33907,2.3312961089473934,2.544531983330468,0.8205647738025956,-22.89800666291268
momentum,residual,drop_momentum,wsd,steps_20000_30000,10000,1.9348580231939858,2.0063637621254227,0.6999124243196025,-1750.1177856636614
momentum,residual,drop_momentum,cosine,full,33907,6.955009274554352,8.894118371903692,2.547180180846363,-282.30499962785836
momentum,residual,drop_momentum,cosine,steps_20000_30000,10000,12.062543556386505,12.2063347474401,4.456760297185663,-72282.26265368088
mpl,none,none,811,full,33908,0.0651805653459128,0.7089769713328282,0.017859706081554978,-0.8462601162510894
mpl,none,none,811,steps_20000_30000,10001,0.05163623576126701,0.062203935793729494,0.01847617423599449,-0.2576600879545332
mpl,none,none,wsd,full,33907,0.06417203770883509,0.7088578137261782,0.017542298785974023,-0.854659171908501
mpl,none,none,wsd,steps_20000_30000,10000,0.05079266724279572,0.06093614598804835,0.018163535918355872,-0.6152731525299278
mpl,none,none,cosine,full,33907,0.05560266443888053,0.7081967893686646,0.014647724316891498,-0.7962067972414562
mpl,none,none,cosine,steps_20000_30000,10000,0.03201011494656667,0.04009966495997339,0.011825702511063902,0.21990286421984917
mpl,residual,step,811,full,33908,0.06549786805385249,0.6946494312758031,0.01802663835229006,-0.7723928901628399
mpl,residual,step,811,steps_20000_30000,10001,0.052163395825853345,0.0627721878524352,0.018663728008291438,-0.28074326687276274
mpl,residual,step,wsd,full,33907,0.06424566926067368,0.6944966564916298,0.017630409202011848,-0.780271208420612
mpl,residual,step,wsd,steps_20000_30000,10000,0.05130565434310453,0.061476429298783455,0.01834624017195199,-0.6440433998783881
mpl,residual,step,cosine,full,33907,0.05497745884038364,0.6937635739080994,0.014488331557915471,-0.7237386332263334
mpl,residual,step,cosine,steps_20000_30000,10000,0.032050075825360055,0.04013493871279191,0.011837549326131548,0.21852983248794666
mpl,residual,lr_cumulative,811,full,33908,0.21282900167308622,0.7967590680403182,0.07233185201919078,-1.3317536225709472
mpl,residual,lr_cumulative,811,steps_20000_30000,10001,0.24941727488440174,0.35022965528619465,0.09113690406475378,-38.86882011319585
mpl,residual,lr_cumulative,wsd,full,33907,0.17812413275694486,0.774265620422509,0.05944065819183745,-1.2127166372830653
mpl,residual,lr_cumulative,wsd,steps_20000_30000,10000,0.17322135597213986,0.2301899183912519,0.06279607484423222,-22.049876697297357
mpl,residual,lr_cumulative,cosine,full,33907,0.05519803787433002,0.7319162425122495,0.014354007075087112,-0.9185415027736124
mpl,residual,lr_cumulative,cosine,steps_20000_30000,10000,0.03209302089799622,0.040268891540049666,0.011863641987689733,0.21330471791596306
mpl,residual,drop_momentum,811,full,33908,0.28109011319757926,0.9749147146561107,0.09470793450635473,-2.491096719826308
mpl,residual,drop_momentum,811,steps_20000_30000,10001,0.4754662342940188,0.8038826853567463,0.17304132766092026,-209.0452665876644
