target_schedule,window,n,block_size,n_replicates,mean_abs_error_improvement,q05,q50,q95,prob_positive
wsd,full,16454,128,200,0.016842627702482217,0.015547572579547248,0.01676746362618599,0.01828787009707564,1.0
wsd,full,16454,512,200,0.016842627702482217,0.01386763750030784,0.016505314848946996,0.019355049787629714,1.0
wsd,full,16454,2048,200,0.016842627702482217,0.010496808876941313,0.01530842600435127,0.020088198193052027,1.0
wsd,steps_20000_30000,5001,128,200,0.005947237600971805,0.0049681670813814995,0.005872001224200959,0.0068121764753764445,1.0
wsd,steps_20000_30000,5001,512,200,0.005947237600971805,0.004453694302882326,0.0056916808944124965,0.006679888565426901,1.0
wsd,steps_20000_30000,5001,2048,200,0.005947237600971805,0.0052743256573537945,0.006000391729493933,0.006702337973391014,1.0
wsd,steps_27126_33906,3391,128,200,0.0168982657735621,0.012685252475111769,0.01674066388101246,0.01994685306500201,1.0
wsd,steps_27126_33906,3391,512,200,0.0168982657735621,0.010875971721579007,0.01652072150773546,0.02348155846320495,1.0
wsd,steps_27126_33906,3391,2048,200,0.0168982657735621,0.010157067763834276,0.0152979171082128,0.02104710313318104,1.0
wsd,last_2048_sampled,2048,128,200,0.024261230224118253,0.022046108596035126,0.02450334207255918,0.026718873673471574,1.0
wsd,last_2048_sampled,2048,512,200,0.024261230224118253,0.021486001825006776,0.024578732674941695,0.028297816909390174,1.0
wsd,last_2048_sampled,2048,2048,200,0.024261230224118253,0.024261230224118253,0.024261230224118253,0.024261230224118253,1.0
