model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.020877761799257585,0.025243033889235173,0.007453433327301497,0.9789902948605604,0.020419877778203234,0.056607567345633214,0.0046002787572367865,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,0.016842627702482224,0.022031626504831276,44.651256057961376
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.005579141184913888,0.0068270016726420775,0.0018473764012225489,0.9989663071124915,0.0045307321130739,0.04490469706425371,0.012710176592535927,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,0.027685274739808374,0.03488365528189533,83.22789975468216
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.022589295757124886,0.023663024400579373,0.008006962736522995,0.7229999416782614,0.022589295757124886,0.042270493193202974,0.03693237519461956,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,0.014836711311037587,0.02326330188262852,39.64278445204182
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.0376719726516637,0.03800642233833258,0.013583331191938743,0.37029285321241545,0.0376719726516637,0.056607567345633214,0.026980446011870107,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,0.005947237600971801,0.015743106133305734,13.634445847429035
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.03687330215909763,0.037026810569999756,0.013227209173257176,0.17925730180732635,0.03687330215909763,0.05064816391050719,0.033068553017239655,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,0.005887743028484348,0.01570143340735805,13.768940872834836
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.03965087596530271,0.04033126643659661,0.014465711409297867,0.21391521604559094,0.03965087596530271,0.056607567345633214,0.026980446011870107,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,0.006094650091773492,0.015868841743143673,13.322942410082382
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.021855493084408036,0.02764381954765215,0.008012338642647806,0.7304224076999709,0.02102531483313215,0.056607567345633214,0.0046002787572367865,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,0.016898265773562102,0.02099911956938404,43.60419807403221
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.008762025515421816,0.011378799387637398,0.003264247619962576,0.9253462203104883,0.0073213221121073094,0.030890022685743812,0.0046002787572367865,momentum_baseline,none,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,0.02486875366900468,0.030874374670436286,73.94640942640046
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.0028013176008139023,0.003452028718567237,0.0010512148323269127,0.9927141840361106,-0.002125285596000506,0.011526650648259196,0.0046002787572367865,momentum_baseline,none,512,0.032466789435841165,0.04040861527782263,0.012218656617885779,0.0016626177046190627,0.0014885610279139413,0.13557383403272016,0.04566822982802332,0.02966547183502726,0.03695658655925539,91.37174432861713
true_step_spline,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.009557270214496141,0.012456663140850624,0.0035573976543761205,0.9115429712139942,0.008182692846294705,0.03438786097435509,0.0046002787572367865,momentum_baseline,none,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,0.024261230224118253,0.030081085335239573,71.739521000217
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.050053106743439615,0.06280257114921443,0.01766981998192488,0.8699555850845455,0.020332656165723505,0.24406791171848852,0.11771583169447064,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,-0.012332717241699806,-0.015527910755147985,-32.69509515836514
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.04840554486204639,0.06090202603095498,0.015922312923628997,0.917738809449248,0.0030394520369117907,0.21040228835167163,0.008247071182962973,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,-0.015141128937324125,-0.019191369076417567,-45.51749524653812
circular_shift_25pct,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.04772980799607324,0.06026293147462066,0.016960998550788444,-0.7965523031762223,0.02196061488014523,0.24406791171848852,0.01089068305554397,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,-0.010303800927910764,-0.013336605191412769,-27.531125372644933
