train_schedules,target_schedule,split,model,feature_set,feature_transform,window,n,mae,rmse,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae
cosine,cosine,train,event_decay_only,drop_impulse,aligned,full,16454,0.0323428563214082,0.040403211180964155,0.9531346679031076,-0.00033409320762075993,0.17962188535299228,0.04563687659393745,0.011481717438842173
cosine,cosine,train,event_decay_only,drop_impulse,aligned,pre_tail_1000_27125,13063,0.032518222671613146,0.04056407319926804,0.9545957027040305,-0.0006505775560122198,0.17962188535299228,0.009592122487667165,0.011390329567162795
cosine,cosine,train,event_decay_only,drop_impulse,aligned,tail_27126_33906,3391,0.03166730025159777,0.03977745003997284,0.04701332755513765,0.0008850855134165859,0.13660304623871422,0.04563687659393745,0.011833766913259075
cosine,cosine,train,event_decay_only,drop_impulse,aligned,early_decay_27126_30000,1438,0.03160630870329923,0.03973499672878147,0.013896848222585967,-0.0009309525289547307,0.1362645923571777,0.05431751776176785,0.011769377317452687
cosine,cosine,train,event_decay_only,drop_impulse,aligned,endpoint_30000_33906,1954,0.031723777254649706,0.03981745694617821,0.002035368092887513,0.0022489008343880824,0.13660304623871422,0.04563687659393745,0.011885578498144228
cosine,cosine,train,event_decay_only,drop_impulse,aligned,last_2048_sampled,2048,0.0316315417594521,0.03973934525400985,0.0030891300561981527,0.0022534238726213624,0.13660304623871422,0.04563687659393745,0.011849967229771581
cosine,cosine,train,event_decay_only,drop_impulse,aligned,last_512_sampled,512,0.03250424028628825,0.04043820839032496,0.0003183381653457662,0.0002924277231654707,0.13566130948114408,0.04563687659393745,0.01218841640390996
cosine,811,test,event_decay_only,drop_impulse,aligned,full,16454,0.053435014066064004,0.08311161266081149,0.7795151530160592,-0.03464346195463486,0.4875975160800716,0.051453625581225904,0.01920613261128734
cosine,811,test,event_decay_only,drop_impulse,aligned,pre_tail_1000_27125,13063,0.04242223955332758,0.05230316156970493,0.9082882355928957,-0.029783723535641893,0.2315673215469185,0.02109175170269939,0.014583160134816484
cosine,811,test,event_decay_only,drop_impulse,aligned,tail_27126_33906,3391,0.09585904044762572,0.151587736210723,-10.189322902511945,-0.053364418300050676,0.4875975160800716,0.051453625581225904,0.03701500594072964
cosine,811,test,event_decay_only,drop_impulse,aligned,early_decay_27126_30000,1438,0.1209237485485333,0.17423090059747726,-16.781875036495155,-0.06434827387978648,0.4875975160800716,0.08037205193237718,0.04639207282287742
cosine,811,test,event_decay_only,drop_impulse,aligned,endpoint_30000_33906,1954,0.07740533664126935,0.13244260501449676,-9.423739059068163,-0.045212667637874376,0.4770984036420769,0.051453625581225904,0.030110564847470312
cosine,811,test,event_decay_only,drop_impulse,aligned,last_2048_sampled,2048,0.0755714264117705,0.12977140773868892,-8.917828438496251,-0.04180688065586134,0.4770984036420769,0.051453625581225904,0.029365557262453254
cosine,811,test,event_decay_only,drop_impulse,aligned,last_512_sampled,512,0.032711014196986715,0.04043519609588194,-0.003783380805381542,-0.0016880285380922655,0.13945760772935278,0.051453625581225904,0.012280133810393591
cosine,wsd,test,event_decay_only,drop_impulse,aligned,full,16454,0.041832026525148266,0.059822650912135726,0.8820037610842018,-0.014287230922754891,0.5853681378844526,0.03816160243736544,0.014561756636349763
cosine,wsd,test,event_decay_only,drop_impulse,aligned,pre_tail_1000_27125,13063,0.03996744537565638,0.0495120976807752,0.9180652075530612,-0.024628261750421137,0.23884290290678178,0.016181044228944508,0.013759445653413825
cosine,wsd,test,event_decay_only,drop_impulse,aligned,tail_27126_33906,3391,0.04901487039297855,0.08900227212148314,-1.7944084062045023,0.025549066836550387,0.5853681378844526,0.03816160243736544,0.017652463911517015
cosine,wsd,test,event_decay_only,drop_impulse,aligned,early_decay_27126_30000,1438,0.06918313909716092,0.12712848823777162,-6.810366904994396,0.03834176531707572,0.5853681378844526,0.07157498933955742,0.02428114244322323
cosine,wsd,test,event_decay_only,drop_impulse,aligned,endpoint_30000_33906,1954,0.03418405653542087,0.04307849776336198,-0.06999074100593905,0.016158138232408924,0.1522733456201153,0.03816160243736544,0.012778865087545905
cosine,wsd,test,event_decay_only,drop_impulse,aligned,last_2048_sampled,2048,0.034071337515092975,0.04299943397669141,-0.05403342870615013,0.016185680973615186,0.1522733456201153,0.03816160243736544,0.012731467562283879
cosine,wsd,test,event_decay_only,drop_impulse,aligned,last_512_sampled,512,0.032776018571422386,0.041484963153016044,-0.0522303256427894,0.009487413017512897,0.12781419516423975,0.03816160243736544,0.01231930244115605
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,full,16454,0.028924794838821887,0.03626222612510294,0.9622489656562195,-0.0002675636347361942,0.15950942149222724,0.026557808225890156,0.01027284898097324
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,pre_tail_1000_27125,13063,0.029088505545253142,0.03641570657385441,0.9634075637284466,-0.0003439544090509094,0.15950942149222724,0.008412196993520471,0.010194545764221375
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,tail_27126_33906,3391,0.028294139292342535,0.03566480770102433,0.23388719271285985,2.6713181799672477e-05,0.12301223033700737,0.026557808225890156,0.01057449301530813
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,early_decay_27126_30000,1438,0.02812353363183221,0.0354608698434727,0.21462919552633142,-0.0003880612567218631,0.11828397327681417,0.041686071823317405,0.01047345072765043
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,endpoint_30000_33906,1954,0.028426546084740087,0.03581747670215313,0.19247107762780524,0.00035327664200207056,0.12301223033700737,0.026557808225890156,0.010651504310700426
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,last_2048_sampled,2048,0.028342986504537232,0.03571157625119015,0.19493127443460834,0.00037618105653019476,0.12301223033700737,0.026557808225890156,0.010619299957567049
cosine,cosine,train,step_plus_event_leftover,drop_impulse,aligned,last_512_sampled,512,0.029304668560678118,0.03693678341560847,0.16594237079385898,-0.0002931816837828489,0.10822784220778514,0.026557808225890156,0.0109888030555325
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,full,16454,0.037986580675183255,0.06003348390173814,0.8849617083364972,-0.0023244417029646145,0.4875975160800716,0.04065766239735824,0.01361346676390991
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,pre_tail_1000_27125,13063,0.031533118020707254,0.0395880078713665,0.9474592265514197,0.006829081762948968,0.16264728134555995,0.015390440591718235,0.010923618236530428
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,tail_27126_33906,3391,0.0628469707239653,0.10700620607107085,-4.575625619339096,-0.03758615713653262,0.4875975160800716,0.04065766239735824,0.02397545181644845
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,early_decay_27126_30000,1438,0.08013874559601583,0.13201806092735255,-9.209251205276708,-0.04648186575688181,0.4875975160800716,0.04779746659949913,0.030548791614627695
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,endpoint_30000_33906,1954,0.05011379683955734,0.08394013298283182,-3.187042876509528,-0.030995874321896908,0.4770984036420769,0.04065766239735824,0.01913486161427552
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,last_2048_sampled,2048,0.04906584637092026,0.08231213726524496,-2.990123305372129,-0.029270556170768264,0.4770984036420769,0.04065766239735824,0.01872157394600124
cosine,811,test,step_plus_event_leftover,drop_impulse,aligned,last_512_sampled,512,0.03104943962572319,0.03886649813610277,0.07259011878265198,-0.012319520993890479,0.1208219666109902,0.04065766239735824,0.011656056175726055
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,full,16454,0.03335704657249737,0.04277882436006511,0.9396614947849231,0.014050629711876334,0.2539438253907207,0.027905323776957314,0.011742782332437307
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,pre_tail_1000_27125,13063,0.032398685844720464,0.040704583474835875,0.9446226288875651,0.011984543548169727,0.16899660652561366,0.020301148065473118,0.01125867474510719
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,tail_27126_33906,3391,0.03704889740910893,0.049971017146916215,0.11910515106251862,0.022009722474040722,0.2539438253907207,0.027905323776957314,0.013607688676670083
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,early_decay_27126_30000,1438,0.04680539925436302,0.06299774868151642,-0.9179431501509712,0.03940381283891193,0.2539438253907207,0.06551069339369553,0.01692098238258938
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,endpoint_30000_33906,1954,0.029883396970270235,0.03761677361744725,0.1841280423185041,0.009231216346218233,0.13260649769676247,0.027905323776957314,0.011174895913231946
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,last_2048_sampled,2048,0.029994874090785547,0.03775768272075767,0.1872825723790228,0.009882845391792442,0.13260649769676247,0.027905323776957314,0.01121078104226378
cosine,wsd,test,step_plus_event_leftover,drop_impulse,aligned,last_512_sampled,512,0.029394056956368195,0.03689650602349206,0.16766169735396208,0.0004997180855067038,0.10894123805175226,0.027905323776957314,0.01104925905009298
cosine,cosine,train,event_decay_only,event_history,aligned,full,16454,0.03227124920267147,0.04029088144293578,0.9533948973390568,-0.00028624040511576954,0.1722802122839111,0.0491137088441338,0.011459169243239248
cosine,cosine,train,event_decay_only,event_history,aligned,pre_tail_1000_27125,13063,0.03241638117276384,0.04043001027858486,0.9548953261642436,-0.00025885704545637573,0.1722802122839111,0.008565103302169863,0.011357554967979924
cosine,cosine,train,event_decay_only,event_history,aligned,tail_27126_33906,3391,0.031712163704200054,0.0397503706569553,0.04831041960024196,-0.00039172811588859775,0.13940828931015048,0.0491137088441338,0.011850613441915913
cosine,cosine,train,event_decay_only,event_history,aligned,early_decay_27126_30000,1438,0.031595465542944776,0.03972382292879987,0.014451370484477422,-0.0007064309866085951,0.1356624674405058,0.053582451883449345,0.011765351222960095
cosine,cosine,train,event_decay_only,event_history,aligned,endpoint_30000_33906,1954,0.03180923752408968,0.03977820204286315,0.004002128271778815,-0.00013250758973982896,0.13940828931015048,0.0491137088441338,0.011917636693979447
cosine,cosine,train,event_decay_only,event_history,aligned,last_2048_sampled,2048,0.03171310249049404,0.03970030316464224,0.005047006500238482,-4.907778067141577e-05,0.13940828931015048,0.0491137088441338,0.0118805625705545
cosine,cosine,train,event_decay_only,event_history,aligned,last_512_sampled,512,0.032803071517452334,0.040570746261101825,-0.006245395203765991,-0.003277448240077842,0.13940828931015048,0.0491137088441338,0.012300495264879599
cosine,811,test,event_decay_only,event_history,aligned,full,16454,0.10710633744124994,0.1850733869310234,-0.09330988497618309,-0.011877707821551727,0.6165336877403047,0.4277244567968932,0.03961570856743766
cosine,811,test,event_decay_only,event_history,aligned,pre_tail_1000_27125,13063,0.03435427757783344,0.043033817593085916,0.9379146812429974,0.006573373312119283,0.18960033792211695,0.01404311952240267,0.011891409028283494
cosine,811,test,event_decay_only,event_history,aligned,tail_27126_33906,3391,0.3873658945028275,0.3988310564696976,-76.45574047547139,-0.08295599530286829,0.6165336877403047,0.4277244567968932,0.14641680702806015
cosine,811,test,event_decay_only,event_history,aligned,early_decay_27126_30000,1438,0.4042100822875171,0.42032490817588897,-102.48977540661635,0.11553532951810142,0.6165336877403047,0.3212525317128705,0.14551910498328932
cosine,811,test,event_decay_only,event_history,aligned,endpoint_30000_33906,1954,0.3749359787417356,0.3822045301845197,-85.80800252006482,-0.22915293574757883,0.5561475822030504,0.4277244567968932,0.1470688478208317
cosine,811,test,event_decay_only,event_history,aligned,last_2048_sampled,2048,0.3749029989173265,0.3819280132017118,-84.90562209104317,-0.23581116981059674,0.5561475822030504,0.4277244567968932,0.1471719360182982
cosine,811,test,event_decay_only,event_history,aligned,last_512_sampled,512,0.3816884362986706,0.3838152220418753,-89.44098493144563,-0.3816884362986706,0.5170595009562167,0.4277244567968932,0.15445371988448442
cosine,wsd,test,event_decay_only,event_history,aligned,full,16454,0.10911459120368334,0.1916174717801037,-0.21061783621604202,0.03493636432200787,0.6231224336395762,0.4159066121058905,0.03892621214553244
cosine,wsd,test,event_decay_only,event_history,aligned,pre_tail_1000_27125,13063,0.03515119697761723,0.04406145243825706,0.9351121591603145,0.011728835097340039,0.19687591928198023,0.018953826996157552,0.0122016174237104
cosine,wsd,test,event_decay_only,event_history,aligned,tail_27126_33906,3391,0.394040518297491,0.41313763787312047,-59.21119070380425,0.12433770736589932,0.6231224336395762,0.4159066121058905,0.1418761917536602
cosine,wsd,test,event_decay_only,event_history,aligned,early_decay_27126_30000,1438,0.48466354383658095,0.48768006401030317,-113.93589330380041,0.48466354383658095,0.6231224336395762,0.5243709927373663,0.16303880701770898
cosine,wsd,test,event_decay_only,event_history,aligned,endpoint_30000_33906,1954,0.32741534928481364,0.3483091444945564,-68.95015359448517,-0.14063082874437133,0.5600761053699936,0.4159066121058905,0.1263219516909242
cosine,wsd,test,event_decay_only,event_history,aligned,last_2048_sampled,2048,0.3340485550041236,0.3550198734347804,-70.85123492621628,-0.11251503477567493,0.6038699050579375,0.4159066121058905,0.1279148852515072
cosine,wsd,test,event_decay_only,event_history,aligned,last_512_sampled,512,0.3694947096337789,0.37169393771332054,-83.46958344577288,-0.3694947096337789,0.5060889723791364,0.4159066121058905,0.14932610424668719
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,full,16454,0.028920046212863596,0.036254380344432374,0.9622652996944411,-0.0002555057665968994,0.15899020629328575,0.02739660200012528,0.010271216049444254
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,pre_tail_1000_27125,13063,0.02908156981390854,0.036405866673316814,0.9634273363661594,-0.0002461706844495358,0.15899020629328575,0.008163824987406976,0.0101921453615839
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,tail_27126_33906,3391,0.028297815956169384,0.03566480311745407,0.2338873896314405,-0.0002914668925452953,0.12249118769803458,0.02739660200012528,0.010575816578939926
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,early_decay_27126_30000,1438,0.02812249193529318,0.03545954217837803,0.21468800343986572,-0.0003398178955188762,0.11830598923806068,0.04149763548275587,0.010473072603105982
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,endpoint_30000_33906,1954,0.02843359679626486,0.035818324105999236,0.19243286660499637,-0.00023449767829180991,0.12249118769803458,0.02739660200012528,0.010654043349197369
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,last_2048_sampled,2048,0.02834959798670839,0.035712219627695815,0.1949022660836125,-0.00019247851370416606,0.12249118769803458,0.02739660200012528,0.010621677713505567
cosine,cosine,train,step_plus_event_leftover,event_history,aligned,last_512_sampled,512,0.029317777171786383,0.03695413487595046,0.16515857124469369,-0.0011636548564390855,0.10914676929642653,0.02739660200012528,0.010993552239067053
cosine,811,test,step_plus_event_leftover,event_history,aligned,full,16454,0.0874277342407577,0.15416055208272075,0.24141920587420151,0.001585323252104467,0.6165336877403047,0.41413724725075785,0.031953529924176965
cosine,811,test,step_plus_event_leftover,event_history,aligned,pre_tail_1000_27125,13063,0.03265879027361931,0.04101375281190477,0.9436066122393545,0.012948786385518222,0.16864033096449527,0.021306735278948885,0.01133224753244014
cosine,811,test,step_plus_event_leftover,event_history,aligned,tail_27126_33906,3391,0.2984117257013088,0.3299032958856989,-51.99671870273353,-0.042189645462665196,0.6165336877403047,0.41413724725075785,0.11139198816164621
cosine,811,test,step_plus_event_leftover,event_history,aligned,early_decay_27126_30000,1438,0.29458330870401656,0.3431273432392932,-67.96644596653191,0.15810329879845428,0.6165336877403047,0.2203542153505591,0.10322264540968833
cosine,811,test,step_plus_event_leftover,event_history,aligned,endpoint_30000_33906,1954,0.3011892109273863,0.319774063608131,-59.76514997529923,-0.18968167126480315,0.5561475822030504,0.41413724725075785,0.11739157198385254
cosine,811,test,step_plus_event_leftover,event_history,aligned,last_2048_sampled,2048,0.2989312209537084,0.31706463269655727,-58.2044241934133,-0.19254170313110708,0.5561475822030504,0.41413724725075785,0.1165031299324893
cosine,811,test,step_plus_event_leftover,event_history,aligned,last_512_sampled,512,0.3709031750665952,0.37286735473675175,-84.35512783973905,-0.3709031750665952,0.49195030064822554,0.41413724725075785,0.14975320475241416
cosine,wsd,test,step_plus_event_leftover,event_history,aligned,full,16454,0.0820432249220825,0.1484666869624541,0.2732335152532722,0.04337708609656018,0.6231224336395762,0.2843957581857106,0.02875322598459732
