support_basis,family,target_schedule,n,coverage,mae_baseline,mae_corrected,mae_improvement,step_mae,mae_gap_vs_step,verdict
full_support,step_abs,811,16454,1.0,0.035786677452969595,0.033207063538535815,0.00257961391443378,0.033207063538535815,0.0,step_reference
full_support,s1_clamp,811,16454,1.0,0.035786677452969595,0.03661838691255314,-0.0008317094595835448,0.033207063538535815,0.003411323374017325,common_support_negative
full_support,s1_ratio,811,16454,1.0,0.035786677452969595,0.04295554263695613,-0.007168865183986538,0.033207063538535815,0.009748479098420318,common_support_negative
full_support,s1_raw,811,16454,1.0,0.035786677452969595,0.23455319842486033,-0.19876652097189074,0.033207063538535815,0.20134613488632452,common_support_negative
s1_raw_common_support,step_abs,811,8825,0.5363437462015316,0.034009214841948104,0.030671014197898895,0.0033382006440492093,0.030671014197898895,0.0,step_reference
s1_raw_common_support,s1_clamp,811,8825,0.5363437462015316,0.034009214841948104,0.03415870691173877,-0.00014949206979066737,0.030671014197898895,0.0034876927138398767,common_support_negative
s1_raw_common_support,s1_raw,811,8825,0.5363437462015316,0.034009214841948104,0.03415870691173877,-0.00014949206979066737,0.030671014197898895,0.0034876927138398767,common_support_negative
s1_raw_common_support,s1_ratio,811,8825,0.5363437462015316,0.034009214841948104,0.04682440437876258,-0.012815189536814472,0.030671014197898895,0.016153390180863682,common_support_negative
full_support,step_abs,wsd,16454,1.0,0.03772038950173981,0.0351801883052973,0.002540201196442507,0.0351801883052973,0.0,step_reference
full_support,s1_clamp,wsd,16454,1.0,0.03772038950173981,0.038880869750113026,-0.0011604802483732163,0.0351801883052973,0.0037006814448157233,common_support_negative
full_support,s1_ratio,wsd,16454,1.0,0.03772038950173981,0.04560631831763487,-0.00788592881589506,0.0351801883052973,0.010426130012337567,common_support_negative
full_support,s1_raw,wsd,16454,1.0,0.03772038950173981,0.24087264785006188,-0.20315225834832207,0.0351801883052973,0.20569245954476456,common_support_negative
s1_raw_common_support,step_abs,wsd,8825,0.5363437462015316,0.03505876025628592,0.031718781312675026,0.003339978943610891,0.031718781312675026,0.0,step_reference
s1_raw_common_support,s1_clamp,wsd,8825,0.5363437462015316,0.03505876025628592,0.03516199289715961,-0.00010323264087368916,0.031718781312675026,0.0034432115844845804,common_support_negative
s1_raw_common_support,s1_raw,wsd,8825,0.5363437462015316,0.03505876025628592,0.03516199289715961,-0.00010323264087368916,0.031718781312675026,0.0034432115844845804,common_support_negative
s1_raw_common_support,s1_ratio,wsd,8825,0.5363437462015316,0.03505876025628592,0.04946050843359363,-0.014401748177307709,0.031718781312675026,0.0177417271209186,common_support_negative
