residual_target,family,selected_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff,residual_corr,residual_mae,step_mae,step_residual_corr,mae_gap_vs_step,residual_corr_gap_vs_step,verdict
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.03661838691255314,0.045954782985415304,0.9325911732727882,0.05414377848965923,-0.03391315616437149,0.01288802889152847,0.033207063538535815,0.372930501107507,0.003411323374017325,-0.40684365727187843,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.04295554263695613,0.0748994209305345,0.8209343641665126,0.054143778489648575,-0.02329866965894552,0.01471958676486637,0.033207063538535815,0.372930501107507,0.009748479098420318,-0.3962291707664525,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.23455319842486033,0.32082414251481106,-2.2854087798885967,0.37081523573330877,-0.12291599718663652,0.07894473592718183,0.033207063538535815,0.372930501107507,0.20134613488632452,-0.4958464982941435,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,full,0.033207063538535815,0.04173325079877043,0.9444070449548329,0.03687140497267105,0.372930501107507,0.011688533342955106,0.033207063538535815,0.372930501107507,0.0,0.0,step_reference
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03218131908916501,0.040169361078329344,0.049726960572715306,0.05414377848965923,,0.012046463383113458,0.029797790330936363,0.4281846963033557,0.002383528758228646,,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03285982608820434,0.040808408694953606,0.01925098681862647,0.054143778489648575,0.030714082291052325,0.012302299377210807,0.029797790330936363,0.4281846963033557,0.0030620357572679786,-0.3974706140123034,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.4276694140166477,0.42959287044690714,-107.6857709098468,0.37081523573330877,,0.1485237510576538,0.029797790330936363,0.4281846963033557,0.39787162368571133,,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.029797790330936363,0.03736427524781395,0.17781095620162168,0.03687140497267105,0.4281846963033557,0.011157842352946446,0.029797790330936363,0.4281846963033557,0.0,0.0,step_reference
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.03594385805386396,0.045434269418024635,-0.005177526784392761,0.05414377848965923,,0.013341972806224211,0.032739427565394864,0.34899761498099496,0.0032044304884690927,,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.035905530693371115,0.045202994368805156,0.005029781711482384,0.054143778489648575,-0.10754933652318996,0.01333473219526024,0.032739427565394864,0.34899761498099496,0.003166103127976251,-0.4565469515041849,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.44246247432045227,0.44497197315593756,-95.41419674369139,0.37081523573330877,,0.1524156634276002,0.032739427565394864,0.34899761498099496,0.4097230467550574,,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.032739427565394864,0.041595821508437276,0.15748996150196348,0.03687140497267105,0.34899761498099496,0.012156623824736403,0.032739427565394864,0.34899761498099496,0.0,0.0,step_reference
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.038880869750113026,0.04865935782173531,0.9219326202821054,0.04145842749505091,-0.061035049109695975,0.013701274096657763,0.0351801883052973,0.3871950085812913,0.0037006814448157233,-0.4482300576909873,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.04560631831763487,0.07913215118202732,0.7935367303506264,0.04145842749504025,-0.046479038651146755,0.015624072270847588,0.0351801883052973,0.3871950085812913,0.010426130012337567,-0.4336740472324381,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.24087264785006188,0.3290824591474685,-2.5706421281635268,0.3844874006747272,-0.18790349371564205,0.08087926907285532,0.0351801883052973,0.3871950085812913,0.20569245954476456,-0.5750985022969334,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,full,0.0351801883052973,0.04399643153904394,0.9361778011120478,0.024145945124007362,0.3871950085812913,0.012393946219913967,0.0351801883052973,0.3871950085812913,0.0,0.0,step_reference
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03492425016546624,0.04400345636084865,-0.10383075015725396,0.04145842749505091,,0.013042767903950148,0.029935568288819842,0.42297674314535677,0.0049886818766464,,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03350178635176501,0.04206661900882569,-0.008797793243921381,0.04145842749504025,0.02241517530255121,0.012517312436631976,0.029935568288819842,0.42297674314535677,0.0035662180629451694,-0.40056156784280555,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.4478694182429207,0.449790663016462,-114.33198822945019,0.3844874006747272,,0.1548184026318004,0.029935568288819842,0.42297674314535677,0.4179338499541009,,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.029935568288819842,0.03763447870791635,0.19257774295577512,0.024145945124007362,0.42297674314535677,0.01118627137420762,0.029935568288819842,0.42297674314535677,0.0,0.0,step_reference
raw,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.04067306885793756,0.050894927663158424,0.08623042347368637,0.04145842749505091,,0.014994842644738642,0.03579783971839802,0.36455694999053606,0.004875229139539541,,step_still_better_after_smoothing
raw,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.038622471979183115,0.04847839020177857,0.17094360911694462,0.04145842749504025,-0.03336545128884655,0.014249445370174757,0.03579783971839802,0.36455694999053606,0.0028246322607850954,-0.3979224012793826,step_still_better_after_smoothing
raw,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.46455846507987414,0.4668393802046274,-75.88164357057958,0.3844874006747272,,0.15869554184733725,0.03579783971839802,0.36455694999053606,0.42876062536147613,,step_still_better_after_smoothing
raw,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.03579783971839802,0.044843050530152556,0.29062155384408506,0.024145945124007362,0.36455694999053606,0.013197436377395212,0.03579783971839802,0.36455694999053606,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.035573613758883314,0.0446389438791125,0.9363961871456875,0.0597333251561607,0.034081577628943344,0.012513004542798979,0.036130989138949625,-0.23458631993985013,-0.0005573753800663106,0.2686678975687935,smoothing_refutes_step_gap
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.03573460268431223,0.0448508816449422,0.9357907942192303,0.0597333251561607,-0.0373342239948297,0.012571108347149352,0.036130989138949625,-0.23458631993985013,-0.00039638645463739575,0.19725209594502044,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.03689826366950693,0.046247922207664535,0.9317284471992633,0.10415257614087947,-0.010177029714712668,0.013050045031995073,0.036130989138949625,-0.23458631993985013,0.0007672745305573048,0.22440929022513745,smoothing_refutes_step_gap
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,full,0.036130989138949625,0.04532963426415103,0.9344126990589223,0.06730442005064496,-0.23458631993985013,0.012713887554025131,0.036130989138949625,-0.23458631993985013,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03257713423074283,0.04055455820944857,0.031414620568953944,0.0597333251561607,,0.012196144164349726,0.03338901714722825,-0.1447362161312771,-0.0008118829164854222,,beats_step_under_smoothing
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03256668552633353,0.04054555412666379,0.03184467110657052,0.0597333251561607,-0.1353775521837582,0.012192203158927982,0.03338901714722825,-0.1447362161312771,-0.0008223316208947201,0.009358663947518914,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.05325177912616552,0.06302636513036669,-1.3393924399256854,0.10415257614087947,-0.13494186740293898,0.02003431700653403,0.03338901714722825,-0.1447362161312771,0.01986276197893727,0.00979434872833812,step_still_better_after_smoothing
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03338901714722825,0.041513871458205946,-0.01495089846106512,0.06730442005064496,-0.1447362161312771,0.012502461734948043,0.03338901714722825,-0.1447362161312771,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.035239838602386477,0.04440915057794364,0.03966975889068525,0.0597333251561607,,0.013090492025264865,0.03606615742609508,-0.3368076112170604,-0.0008263188237086008,,beats_step_under_smoothing
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.03536830538517774,0.044582717288905165,0.03214846725816334,0.0597333251561607,-0.3841702229176692,0.013136901875047692,0.03606615742609508,-0.3368076112170604,-0.0006978520409173378,-0.04736261170060885,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.04768678145913157,0.05771904126632259,-0.622235457792016,0.10415257614087947,-0.38714441218195794,0.017838571339330412,0.03606615742609508,-0.3368076112170604,0.011620624033036493,-0.050336800964897566,step_still_better_after_smoothing
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.03606615742609508,0.04538814705524571,-0.003137761140778128,0.06730442005064496,-0.3368076112170604,0.013397001965919928,0.03606615742609508,-0.3368076112170604,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03735235264405276,0.04682759753802046,0.9276996148318206,0.0470609538664708,0.07696274818646838,0.01315095124994431,0.03784708841599304,-0.17432716665680514,-0.0004947357719402787,0.2512899148432735,smoothing_refutes_step_gap
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03758428901133293,0.04711993946155312,0.9267940629120134,0.0470609538664708,0.0007281395996319662,0.013233908279417405,0.03784708841599304,-0.17432716665680514,-0.00026279940466011203,0.17505530625643712,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03671010185212934,0.04602741101248145,0.9301494305960571,0.10300709078374393,0.08003981528211651,0.012963362384189232,0.03784708841599304,-0.17432716665680514,-0.0011369865638636983,0.25436698193892165,smoothing_refutes_step_gap
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,full,0.03784708841599304,0.047426500445925564,0.9258384127913616,0.05464962989651001,-0.17432716665680514,0.013327295219622086,0.03784708841599304,-0.17432716665680514,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03351891513647878,0.042136480909314135,-0.012151286082539015,0.0470609538664708,,0.012523635440977121,0.03340805841572547,-0.20854434175376577,0.00011085672075331066,,step_still_better_after_smoothing
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03360970270571205,0.04224998225133661,-0.017611412383822245,0.0470609538664708,-0.21241827822496148,0.012557116100367733,0.03340805841572547,-0.20854434175376577,0.00020164428998657724,-0.003873936471195716,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.048922892270982746,0.05871523318108927,-0.96530738976578,0.10300709078374393,-0.2123237673326633,0.01837285648963672,0.03340805841572547,-0.20854434175376577,0.015514833855257273,-0.003779425578897544,step_still_better_after_smoothing
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03340805841572547,0.04189077739928915,-0.00038171974074141524,0.05464962989651001,-0.20854434175376577,0.012483304063882723,0.03340805841572547,-0.20854434175376577,0.0,0.0,step_reference
roll101,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.038175166115638134,0.047960218622323435,0.1885719815622382,0.0470609538664708,,0.014089011907757354,0.03857830096385739,-0.3433911060208056,-0.00040313484821925816,,beats_step_under_smoothing
roll101,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.038547219044279074,0.04839645393270591,0.17374371782968345,0.0470609538664708,-0.33648540073691663,0.014223011959954063,0.03857830096385739,-0.3433911060208056,-3.108191957831852e-05,0.006905705283888952,smoothing_refutes_step_gap
roll101,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.0424334618243268,0.05239989047038587,0.031391111931558635,0.10300709078374393,-0.33126567613715063,0.015803831538174395,0.03857830096385739,-0.3433911060208056,0.0038551608604694074,0.012125429883654948,step_still_better_after_smoothing
roll101,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.03857830096385739,0.04839109874535053,0.17392656231641257,0.05464962989651001,-0.3433911060208056,0.014232929847410194,0.03857830096385739,-0.3433911060208056,0.0,0.0,step_reference
