model_class,config,feature_set,step_template,ridge_alpha,event_shrink,step_shrink,residual_clip,train_full_mae,validation_full_mae,validation_tail_mae,validation_last2048_mae,validation_full_tail_score,validation_endpoint_abs_diff,step_smoothing,step_rolling_window,selected_by_811_full,selected_by_811_full_plus_tail
event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.15,linear_endpoint,none,10.0,0.75,,0.15,0.032286685657023646,0.033051257658681915,0.03488909117944126,0.033198608804322446,0.03363207794403782,0.06280722482031154,,,True,False
event_decay_only,linear_endpoint_ridge10_shrink0.75_clip0.25,linear_endpoint,none,10.0,0.75,,0.25,0.032286685657023646,0.033051257658681915,0.03488909117944126,0.033198608804322446,0.03363207794403782,0.06280722482031154,,,False,False
event_decay_only,linear_endpoint_ridge0.01_shrink0.25_clip0.15,linear_endpoint,none,0.01,0.25,,0.15,0.032309644139202356,0.03308994789394865,0.03463441983211474,0.032639657006304515,0.033463231297869656,0.0599529666614842,,,False,True
event_decay_only,linear_endpoint_ridge0.01_shrink0.25_clip0.25,linear_endpoint,none,0.01,0.25,,0.25,0.032309644139202356,0.03308994789394865,0.03463441983211474,0.032639657006304515,0.033463231297869656,0.0599529666614842,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.25_clip0.15,linear_endpoint,none,0.0001,0.25,,0.15,0.03230962829333146,0.03309484744877271,0.034631959661651675,0.03263983721271718,0.033464979065425296,0.05995329088884027,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.25_clip0.25,linear_endpoint,none,0.0001,0.25,,0.25,0.03230962829333146,0.03309484744877271,0.034631959661651675,0.03263983721271718,0.033464979065425296,0.05995329088884027,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.25_clip0.15,linear_endpoint,none,1e-06,0.25,,0.15,0.03230962813345048,0.03309489858067475,0.034631934828944715,0.03263983903620112,0.03346499754626102,0.05995329415045214,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.25_clip0.25,linear_endpoint,none,1e-06,0.25,,0.25,0.03230962813345048,0.03309489858067475,0.034631934828944715,0.03263983903620112,0.03346499754626102,0.05995329415045214,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink0.25_clip0.15,linear_endpoint,none,1.0,0.25,,0.15,0.032310580118537435,0.033189424052310686,0.03476836561680475,0.03262833127098405,0.03355088796539358,0.05993013513041401,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink0.25_clip0.25,linear_endpoint,none,1.0,0.25,,0.25,0.032310580118537435,0.033189424052310686,0.03476836561680475,0.03262833127098405,0.03355088796539358,0.05993013513041401,,,False,False
event_decay_only,linear_endpoint_ridge10_shrink0.5_clip0.15,linear_endpoint,none,10.0,0.5,,0.15,0.03229523463343167,0.03323523238155931,0.03489832217896293,0.032850198170645675,0.03365715247859767,0.061320261132976395,,,False,False
event_decay_only,linear_endpoint_ridge10_shrink0.5_clip0.25,linear_endpoint,none,10.0,0.5,,0.25,0.03229523463343167,0.03323523238155931,0.03489832217896293,0.032850198170645675,0.03365715247859767,0.061320261132976395,,,False,False
event_decay_only,linear_endpoint_ridge10_shrink1_clip0.15,linear_endpoint,none,10.0,1.0,,0.15,0.032285113946763234,0.033587456317274014,0.03502293359466689,0.03363392668432613,0.034027393573902304,0.0642933537881003,,,False,False
